#age,5(day),,,,,,,,,,,,,
#ecotype,Col-0,,,,,,,,,,,,,
#cell line,T87,,,,,,,,,,,,,
#compound,,,dimethylthiourea,dimethylthiourea,ethanol,ethanol,abscisic acid and dimethylthiourea,abscisic acid,abscisic acid,abscisic acid and dimethylthiourea,ethanol,dimethylthiourea,abscisic acid,abscisic acid and dimethylthiourea
Gene ID,Gene Name,DesignElementAccession,GSM604753,GSM604752,GSM571891,GSM571893,GSM604750,GSM571892,GSM571896,GSM604755,GSM571895,GSM604754,GSM571894,GSM604751
AT1G01010,NAC001,261585_at,9.755258882,9.759092514,9.427263325,9.610607322,6.971450656,6.818875524,7.832335757,6.908804552,9.71446122,9.590254112,8.167780184,6.623736721
AT1G01030,NGA3,261568_at,3.850364006,3.595859457,3.661833046,3.730273799,3.736518207,3.795994537,3.719751238,3.672887712,3.89448301,3.790258228,3.721590078,3.74594113
AT1G01040,DCL1,261584_at,6.531433469,6.679605099,6.654214484,6.459423784,6.513588457,6.000393929,6.427185882,6.107768003,6.327667667,6.640056044,6.296991941,6.83173038
AT1G01050,PPA1,261579_at,10.56682621,10.36502908,10.43433797,10.76241815,10.8562646,10.00574926,10.63275513,10.82584344,10.82081898,10.5992328,10.82525095,10.75358998
AT1G01060,LHY,261569_at,6.984178215,7.173703593,10.20988361,9.359084496,8.153770982,11.07771834,10.13579989,9.485637677,9.329378983,8.003854389,9.990036083,8.515533128
AT1G01070,,261576_at,3.510937939,3.554424805,3.512859048,3.502132874,5.344753823,6.650525604,6.38986495,6.724244454,2.985892671,3.596471447,6.274846573,5.187865341
AT1G01080,,261577_at,6.462588353,6.922610761,5.792941803,6.312323556,6.800133551,5.666246546,5.962886323,6.622229985,6.048355913,6.568491324,6.047805694,6.693506585
AT1G01090,PDH-E1 ALPHA,261583_at,10.23291526,10.072328,9.533945027,10.18156761,10.31685262,10.87457466,11.1789888,10.12429319,10.09277857,10.40137931,11.26324779,10.10045057
AT1G01100,RPP1A,261578_at,12.75137,12.74979518,12.38332821,12.83563893,12.13675796,11.78590451,12.21436152,12.17574488,12.8778908,12.732967,12.32703902,12.30563628
AT1G01110,IQD18,261580_at,4.27003482,3.846616254,4.109542708,4.542296032,4.55519432,4.483047342,4.092439617,4.425301139,4.236602174,4.498750403,4.226765801,4.398033178
