#development stage,seedling,,,,,,,
#ecotype,Columbia,,,,,,,
#age,10 (day),,,,,,,
#compound,,,auxin and brassinazole,auxin,auxin and brassinazole,auxin and brassinazole,auxin,auxin
Gene ID,Gene Name,DesignElementAccession,GSM325130,GSM325126,GSM325131,GSM325129,GSM325127,GSM325128
AT1G01010,NAC001,261585_at,6.472675694,6.423956989,6.451320486,6.506572012,6.485740303,6.540316897
AT1G01030,NGA3,261568_at,5.293209389,5.19512482,4.898860935,5.293209389,5.434729826,5.379617255
AT1G01040,DCL1,261584_at,7.681412427,7.948012749,7.805065272,7.71747095,7.836715647,7.960368493
AT1G01050,PPA1,261579_at,10.88276609,10.80921359,10.91388941,10.87918013,10.78799188,10.84050785
AT1G01060,LHY,261569_at,8.517344718,8.842383684,8.49061237,8.413239694,8.785539082,8.838193289
AT1G01070,,261576_at,6.899769834,7.085252962,6.601983047,7.08558715,7.211859402,7.2318843
AT1G01080,,261577_at,8.762008237,8.869753931,8.813604592,8.814533831,8.896806043,8.825776462
AT1G01090,PDH-E1 ALPHA,261583_at,11.55451283,11.67152893,11.77191723,11.54035651,11.66665119,11.63970135
AT1G01100,RPP1A,261578_at,12.60602487,12.41697272,12.5847982,12.57929134,12.43845388,12.37905448
AT1G01110,IQD18,261580_at,5.995323903,6.11810168,6.048131017,5.98529558,6.058496021,5.949864229
AT1G01120,KCS1,261570_at,9.035417942,9.658141582,9.205796716,9.094100803,9.557090506,9.711657287
AT1G01130,,261575_at,5.047079957,4.679701549,4.919596548,4.733759138,4.810412652,4.9682903
AT1G01140,CIPK9,261581_at,9.598948262,9.520481113,9.446708723,9.537015228,9.530905409,9.305837358
AT1G01150,,261571_at,3.386131749,3.409334091,3.378726583,3.383538531,3.368898351,3.372618027
AT1G01160,GIF2,261582_at,8.455479412,8.38604327,8.607092689,8.348203338,8.367124112,8.428395841
AT1G01170,,261572_at,10.77273846,10.6133055,10.82911952,10.61612669,10.62292312,10.59226003
AT1G01190,CYP78A8,261574_at,7.481171087,6.539117443,7.736592503,7.411055336,6.576891181,6.647953014
AT1G01200,RABA3,261042_at,5.045298324,4.938881811,4.846174155,4.920499576,4.992367088,5.109898325
AT1G01220,FKGP,261043_at,7.747153093,7.886531232,7.666798073,7.730846957,7.892831219,7.949580042
AT1G01225,,261025_at,6.062592669,6.212594147,6.186710419,6.28181792,6.225882916,6.365867947
AT1G01230,,261057_at,8.944866657,8.813808965,8.927965394,8.821625817,8.964816052,9.051759259
AT1G01240,,261026_at,8.855071898,9.063244807,8.789621073,8.891212743,9.034279933,9.12628694
AT1G01250,ERF023,261059_at,5.451590216,5.455744268,5.336143822,5.341141326,5.738889781,5.41546315
AT1G01260,BHLH13,261050_at,7.647788637,7.756595287,7.894815501,7.700311756,7.702654952,7.777497251
AT1G01280,CYP703A2,261051_at,3.487561297,3.828475581,3.510922438,3.466758768,3.518690783,3.731278618
AT1G01290,CNX3,261044_at,7.591760224,7.696573899,7.533444275,7.667229703,7.743472382,7.711518833
AT1G01300,APF2,261055_at,9.999622774,10.04951036,9.943039993,10.00153655,9.840544809,10.17131714
AT1G01310,,261045_at,3.864014636,3.724456654,3.69976409,3.568937451,3.757680416,3.765799165
AT1G01320,,261053_at,10.22112675,10.35671975,10.22762298,10.24466278,10.09727953,10.43916717
AT1G01320,,261054_at,6.427077816,6.827146606,6.112863851,6.354614721,6.74149922,6.606743548
