#organism part,guard cells,,,,,,,,,,,,,
#geno type,wild type,,,,,,,,,,,,,
#compound,,,abscisic acid,control,control,abscisic acid,control,control,control,abscisic acid,control,abscisic acid,abscisic acid,abscisic acid
#dose,50?(micromolar),,,,,,,,,,,,,
#ecotype,Col-0,,,,,,,,,,,,,
#sample_source,,,"Columbia wild-type leaves, abscisic acid treatment","Columbia wild-type guard cells, no treatment","Columbia wild-type guard cells, no treatment","Columbia wild-type guard cells, abscisic acid treatment","Columbia wild-type leaves, no treatment","Columbia wild-type leaves, no treatment","Columbia wild-type guard cells, no treatment","Columbia wild-type guard cells, abscisic acid treatment","Columbia wild-type leaves, no treatment","Columbia wild-type leaves, abscisic acid treatment","Columbia wild-type leaves, abscisic acid treatment","Columbia wild-type guard cells, abscisic acid treatment"
Gene ID,Gene Name,DesignElementAccession,GSM486930,GSM486892,GSM486894,GSM486905,GSM486916,GSM486917,GSM486893,GSM486904,GSM486918,GSM486928,GSM486929,GSM486906
AT1G01010,NAC001,261585_at,4.932230217,5.577090139,5.800237552,5.568495836,5.038638205,5.357133779,4.971626254,5.787330264,5.212348234,5.332435841,5.302652855,5.666320934
AT1G01030,NGA3,261568_at,4.208852646,4.403554616,4.960033072,5.776843452,3.793426056,3.931535083,4.797496377,4.975248067,4.140607225,4.159462965,4.165390926,5.962647456
AT1G01040,DCL1,261584_at,4.275838425,6.653309816,6.642647936,6.811628491,6.267339454,6.524087741,7.299029505,7.449580171,6.247962764,4.64657239,4.27057178,4.603770546
AT1G01050,PPA1,261579_at,8.309296034,8.009165912,7.24320967,6.693002812,8.917114535,8.951876803,7.290968121,7.468262365,9.132884322,8.624617713,8.612853099,6.61603175
AT1G01060,LHY,261569_at,6.78957394,10.74127486,8.971451767,10.14559429,5.347660725,8.166278345,9.659466997,11.1144238,8.963124881,7.352558142,5.542523385,9.524356402
AT1G01070,,261576_at,6.666983507,3.113681785,2.999010737,3.358118058,3.627499085,4.844988983,2.964716273,3.072479736,3.935785881,6.740180024,6.069524946,3.202198556
AT1G01080,,261577_at,5.87922122,4.956727046,4.666941689,4.459826097,7.590777957,6.877005496,4.732001746,4.249783287,6.98767921,6.189245386,7.029563101,3.850441288
AT1G01090,PDH-E1 ALPHA,261583_at,9.214837762,9.742861869,9.156944076,8.756355711,10.88871991,10.18620695,8.959848032,8.936804737,10.48434371,9.50015807,9.958568034,8.254963402
AT1G01100,RPP1A,261578_at,10.94561324,10.71923681,10.63780781,10.38767469,11.10225792,10.54143093,10.74673836,10.10014683,10.91021997,10.91664012,11.8504726,10.22776806
AT1G01110,IQD18,261580_at,3.797248368,3.935389243,3.724905148,3.963275734,3.673679987,3.819677817,3.69682211,3.989731705,3.996920607,3.80048366,3.551198732,3.930130836
AT1G01120,KCS1,261570_at,11.5612898,10.52319832,10.22483012,10.79154,10.10699621,10.43612807,9.329419939,11.6098862,9.630941791,11.72121231,11.41808875,11.28758853
AT1G01130,,261575_at,5.549922771,4.12044252,4.368982631,4.784196081,4.328683299,4.267107434,4.383508563,4.363835761,4.472799154,5.292482151,5.586217903,4.436615151
AT1G01140,CIPK9,261581_at,8.62413811,9.503190233,9.093526424,8.180407041,9.269155808,9.837257595,9.551411986,9.550167323,9.890913389,8.971897166,8.252518441,8.013865734
AT1G01150,,261571_at,2.853180677,2.917103356,2.853192213,2.968948529,3.092631736,2.87594283,2.922136118,2.966498018,2.998976021,3.054466302,2.830040035,2.931982499
AT1G01160,GIF2,261582_at,7.611387115,7.704427288,8.102645512,8.198185295,7.663094492,7.678118822,8.459402396,7.54453098,7.919672269,8.185064277,7.720689281,7.958710558
AT1G01170,,261572_at,10.00986753,7.127961046,8.05781213,7.006906802,9.684076397,9.879666412,8.284817397,7.304086708,10.03219717,10.15408455,9.877691291,6.605031026
AT1G01190,CYP78A8,261574_at,4.251249704,4.307544739,4.731269342,4.272082947,4.413834205,4.808935329,4.397026004,4.529156054,4.406968446,4.621732796,4.369049499,4.68044875
AT1G01200,RABA3,261042_at,3.817257492,3.799905597,3.729408375,4.274629783,3.481313586,3.441468125,3.763808559,3.831776633,3.723913531,3.870975606,3.831356327,4.21321717
AT1G01220,FKGP,261043_at,4.753804219,4.720077237,4.812393728,5.071442602,6.744914003,6.109457885,4.994873823,4.688425359,6.419070711,4.535623188,4.791270705,4.427026481
AT1G01225,,261025_at,5.108791717,4.791427322,4.657669348,4.612964862,4.934206536,4.210998951,4.460092772,5.243188331,4.602599476,4.870233403,5.137585512,4.851465861
AT1G01230,,261057_at,10.26884462,9.867909373,9.729114659,9.527990219,9.222742209,9.387933274,9.202006633,9.716637451,8.941494358,10.11852759,10.62621346,9.673440909
AT1G01240,,261026_at,10.09800485,6.780127363,7.093495126,10.18304649,10.0043606,9.896466001,7.515554934,9.89733246,9.584900611,10.01800908,9.722378989,9.15024323
AT1G01250,ERF023,261059_at,5.723910489,7.513376661,6.554683719,9.92014152,4.917754322,3.794759079,7.170289683,9.792149587,4.725034904,6.175284598,6.125558785,10.13227059
AT1G01260,BHLH13,261050_at,5.462494484,7.877142483,8.214949671,7.470953187,5.734376543,6.303098179,7.651998793,8.101724783,6.156046874,6.017861244,5.462009317,7.822591642
AT1G01280,CYP703A2,261051_at,3.064607755,3.453849637,3.409427581,3.210181309,3.003801514,3.148902716,3.152841943,3.103332252,3.21617984,3.367837565,3.154031326,3.316207388
AT1G01290,CNX3,261044_at,5.011122319,5.600008556,5.262881882,5.086864438,5.466429862,5.702213511,5.83217233,5.673309134,5.316854605,4.682857761,5.778077369,4.172309754
AT1G01300,APF2,261055_at,5.982823581,8.386950581,7.511005809,6.665721451,9.322386285,8.569377036,6.632794933,7.686998431,7.952599618,5.590248951,7.963529319,6.671626827
AT1G01310,,261045_at,3.482950811,3.417318405,3.527450065,3.480562552,3.480610784,3.444151997,3.45796734,3.460859883,3.317097084,3.35283505,3.715601127,3.401907168
AT1G01320,,261053_at,7.17740381,6.751855121,6.420402826,5.69678929,8.611905939,8.441743051,6.803246776,5.60882209,9.476508649,7.81309474,6.408618406,4.897543632
AT1G01320,,261054_at,3.888047368,3.825087719,4.07235023,3.878844444,5.00975831,4.884806338,3.889160472,3.815041649,6.19145153,3.928332782,3.909182432,4.301922464
AT1G01340,CNGC10,261027_at,6.612900749,3.820351985,4.558201207,4.472396605,6.883371759,8.512278665,4.457384529,4.132805491,7.893083117,5.799496311,4.703043195,4.404625365
AT1G01360,PYL9,261056_at,7.568810608,7.384076291,7.841555136,9.152228026,7.845334795,8.046016332,7.694774603,8.797740606,8.323972058,7.737948522,6.975241258,8.360653319
AT1G01370,HTR12,261058_at,3.896260756,3.536688583,3.609460989,4.0636811,3.601974859,3.656243961,3.616579717,3.942419049,3.381243876,3.915861155,3.844957085,3.828781111
AT1G01380,ETC1,257490_x_at,3.404912672,3.226402242,3.292128641,3.516481146,3.298335489,3.052167903,3.351434522,3.243041018,3.170928674,3.416659421,3.33186388,3.57687806
AT1G01390,,261046_at,3.52779185,3.852602131,3.3453765,3.212424751,3.49825261,3.654967739,3.345093422,3.506557446,3.272599343,3.241227788,3.32735154,3.767829396
AT1G01410,APUM22,261047_at,3.056892383,3.281144227,3.139500095,3.159320919,3.102161149,3.136033494,3.226005421,3.127184984,3.215924796,3.332348103,3.319858426,3.259376579
AT1G01420,UGT72B3,261048_at,4.432141093,3.532967133,3.385352746,3.503063463,4.948512883,4.867343065,3.261604774,3.36854985,4.804134072,3.828716295,4.380437996,3.48650639
AT1G01430,TBL25,261049_at,7.885880884,7.490395059,7.052419761,7.037932999,9.570433025,9.370925775,6.982757367,7.387655719,9.615842132,7.662713899,7.706641808,6.848801894
AT1G01440,,261052_at,4.784705253,7.477812149,7.389211426,7.315209184,5.281499786,5.489854384,7.402795754,7.180893882,5.61546765,4.992070659,4.48158873,6.877583713
AT1G01450,,259435_at,3.380195171,3.472278811,3.416359843,3.39888901,3.476970299,3.106636626,3.62154349,3.717457662,3.416150885,3.321472523,3.58746231,3.611262697
AT1G01460,PIP5K10,259425_at,3.71395255,3.66800333,3.679930548,3.455126931,3.480886634,3.522113243,3.730641562,3.732701403,3.578999118,3.550738771,3.575468003,3.879786183
AT1G01470,LEA14,259426_at,12.98806185,11.8555412,11.50620778,13.06736332,11.10948936,12.0548102,11.50218099,13.06692028,11.42676362,12.86765749,12.33929942,12.66190337
AT1G01480,ACS2,259439_at,8.09523292,7.903915916,7.354066581,10.39749877,4.091437194,4.853183993,7.452386977,10.34613168,4.976650068,7.668374766,6.984408039,10.0421637
AT1G01490,,259434_at,11.7988413,9.577620381,9.70707586,9.901941106,10.99938121,11.53550883,10.04095973,10.19109916,11.59693909,11.78048205,11.31514154,9.533273191
AT1G01500,,259436_at,8.261683386,8.653094788,8.81732273,9.059881881,8.457994969,8.185903067,8.557453257,9.087080047,7.997863933,8.278537231,8.704595728,8.898438063
AT1G01510,AN,259438_at,5.327749841,7.256380529,7.240279047,7.060694678,6.795685124,6.81136951,7.124272027,7.278599682,7.351774001,5.645355174,5.931244892,6.321312022
AT1G01520,,259432_at,3.240529997,3.456313109,3.207798667,7.400599151,3.19040869,3.258747914,3.406902648,7.57410164,3.216366562,3.529760405,3.343377421,7.193469229
AT1G01530,AGL28,259427_at,3.401531208,3.258021222,3.263853465,3.505625014,3.322419591,3.32115898,3.365439805,3.401084868,3.225401191,3.371263165,3.305028783,3.660218743
AT1G01540,,259437_at,7.532646881,8.881748247,8.12457316,7.903506382,7.875718527,7.849535397,8.176021907,8.497994479,8.733114046,7.475201529,6.992215234,7.957792108
AT1G01550,BPS1,259440_at,11.03168352,12.70392886,12.71695714,12.30455599,10.82344312,11.1441148,12.49579521,12.17064361,10.83809973,11.38885822,10.90992288,12.66424498
AT1G01560,MPK11,259428_at,7.199939592,10.42198766,9.640021152,9.52918362,5.388507926,6.676843807,9.708930924,10.31190886,5.498678558,6.519157922,6.137937133,9.788335281
AT1G01570,,259433_at,4.915129136,7.723594123,7.03064165,9.232837122,3.77253193,3.923723613,7.316129207,8.753309934,3.879395085,4.901472466,4.803979255,8.904757742
AT1G01600,CYP86A4,259429_at,6.49301127,6.248425013,5.781302438,7.621814473,4.825501514,5.569269247,5.279241032,9.076944055,4.975888506,6.534610989,5.834725972,6.833625866
AT1G01610,GPAT4,259430_at,8.748688719,10.5171845,9.616693326,10.28432613,8.396656011,8.857527794,9.451096363,10.76585426,7.595421161,9.272789915,8.731624687,9.349228571
AT1G01620,PIP1-3,259431_at,12.28330528,9.102143678,8.635171925,8.702197875,9.256403159,10.32049754,8.613581917,8.509570442,11.34091785,12.27699314,11.48589776,8.7093999
AT1G01630,,261563_at,8.700446881,8.566000523,7.567964658,8.486583865,8.715369088,8.298625644,8.082695939,8.947453848,7.742773529,8.602606605,8.384647763,8.147456664
AT1G01640,,261586_at,4.970267757,3.78311976,3.836946016,4.21639082,4.081427386,4.331628401,3.866691772,3.8770961,4.424895271,4.292526999,4.493721032,3.810008139
AT1G01650,SPPL4,257484_at,9.529688393,10.43344671,9.723458214,9.863889619,9.360006954,9.042329147,9.981106819,10.28096245,9.24279637,9.626909031,9.364640132,9.479359443
AT1G01660,,261587_at,3.600893883,3.5154127,3.592193078,3.653890727,3.578292542,3.547433435,3.590479759,3.761838321,3.507176078,3.813779965,3.525700437,3.334218605
