#devolpment stage,radicle emergence,,,,,,,,,,,,,
#ecotype,Ler-0,,,,,,,,,,,,,
#dose,20 (micromolar,,,,,,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,Penfield_1-10_embryo-control_Rep1_ATH1,Penfield_1-4_endosperm-ABA_Rep1_ATH1,Penfield_1-12_embryo-control_Rep3_ATH1,Penfield_1-1_endosperm-control_Rep1_ATH1,Penfield_1-15_embryo-ABA_Rep3_ATH1,Penfield_1-13_embryo-ABA_Rep1_ATH1,Penfield_1-3_endosperm-control_Rep3_ATH1,Penfield_1-11_embryo-control_Rep2_ATH1,Penfield_1-5_endosperm-ABA_Rep2_ATH1,Penfield_1-2_endosperm-control_Rep2_ATH1,Penfield_1-14_embryo-ABA_Rep2_ATH1,Penfield_1-6_endosperm-ABA_Rep3_ATH1
AT1G01010,NAC001,261585_at,4.027828029,4.093753329,4.023033148,4.285342876,4.205621893,4.187900723,3.951974716,4.400452896,4.113237994,4.245722745,4.144990105,3.822193354
AT1G01030,NGA3,261568_at,4.073479176,3.515620112,3.884663183,3.685410061,3.914647858,3.752246559,3.884392831,3.588730098,3.625172857,3.677346081,3.731305931,3.730440472
AT1G01040,DCL1,261584_at,6.263082536,6.718963362,6.027653993,6.682602863,6.376303003,6.753488456,7.025876379,6.214615033,6.433567068,6.869309169,6.663236604,6.86267021
AT1G01050,PPA1,261579_at,7.665288014,8.290036901,7.28569297,7.978334993,7.138847489,7.331660114,8.125612459,7.798369725,8.663329923,8.576405342,7.35981925,8.795462592
AT1G01060,LHY,261569_at,5.39500743,5.093120303,5.267266863,6.500031299,5.036535906,4.825676131,5.93452527,5.064738341,4.85355193,6.557641925,4.753974551,4.784543389
AT1G01070,,261576_at,3.198267285,3.082718686,3.103129432,6.838938741,2.972262199,3.114561875,9.647090829,3.246059399,3.330273755,7.082558807,3.302248263,3.137114827
AT1G01080,,261577_at,7.946114995,4.952531104,8.074134667,5.13373146,6.31106552,6.198731125,5.622411136,7.836027538,4.86574374,5.517554852,5.981669793,4.812429081
AT1G01090,PDH-E1 ALPHA,261583_at,9.495534278,9.116551517,9.456650763,9.374634722,8.887741483,8.955912596,9.261529646,9.499344369,9.089729213,9.443783638,8.977750693,8.797471382
AT1G01100,RPP1A,261578_at,12.2878047,12.05108449,12.21223975,11.38655958,12.20739656,12.29802508,10.90393737,12.35979494,12.2196758,11.68952299,12.43256169,11.64957148
AT1G01110,IQD18,261580_at,5.506591005,5.281695576,5.530261901,5.730102922,5.641374209,6.002814181,5.340726732,5.404433643,5.315895263,5.646271635,5.767043857,5.227674531
AT1G01120,KCS1,261570_at,6.927695218,4.034667425,6.318837772,4.673282195,4.288140121,4.11285255,4.555397138,6.66804974,4.192278435,4.773114871,4.068850455,3.349081374
AT1G01130,,261575_at,5.626211081,5.122879046,5.327596856,5.301567895,5.240683889,5.329329866,5.353988046,5.19787642,5.025844315,4.793522216,5.146917923,5.602951687
AT1G01140,CIPK9,261581_at,7.557526537,7.140192144,7.380072049,8.293848197,5.915055203,5.533440984,8.976086588,7.329516822,7.304902744,8.254056909,5.441259236,6.683050265
AT1G01150,,261571_at,2.535815071,2.701939954,2.652535764,2.792839399,2.689652376,2.688606795,2.706069431,2.663843396,2.683082828,2.740701487,2.624449291,2.881879434
AT1G01160,GIF2,261582_at,7.897664177,8.855170572,8.100861365,8.066799564,9.218514474,9.09872573,8.15719788,7.992910974,8.688519163,8.178492648,9.359954902,9.284952731
AT1G01170,,261572_at,12.45101468,10.31392119,12.38507494,9.745608759,11.93825708,11.72879101,9.731574456,12.65486383,10.55953365,9.969883696,11.96290198,9.672376012
AT1G01190,CYP78A8,261574_at,3.872689669,3.85222503,3.708990515,4.00913274,3.792013043,3.83264257,3.972135354,4.117583509,3.571780968,3.85497684,3.91170497,3.798161318
AT1G01200,RABA3,261042_at,4.704709431,3.845726231,4.212713147,3.878630088,4.271783498,4.569537928,3.995400624,4.611055697,3.943105951,3.960197743,4.452537848,3.972715526
AT1G01220,FKGP,261043_at,7.25900704,6.882048958,7.249283444,6.82866381,6.756814341,6.816876966,6.761997214,7.34498964,7.094196715,6.976057312,6.853238865,6.804444973
AT1G01225,,261025_at,3.663015991,3.494957322,3.966436889,4.265015511,3.178457769,3.478205125,4.064644811,3.943183883,3.392543288,4.122757168,3.657343404,3.401216111
AT1G01230,,261057_at,7.70937016,8.407380896,7.464753848,8.430785694,7.997493036,8.192736077,9.060293812,7.866273688,8.591981417,8.902508602,8.344887076,8.988259486
AT1G01240,,261026_at,5.736671615,8.431862559,5.996188506,6.953859325,8.650621074,8.445767148,7.070250304,6.005671397,8.760873529,7.003438387,8.478409156,8.537031826
AT1G01250,ERF023,261059_at,3.67308486,3.906487717,3.645424563,4.031583956,4.152657184,4.066566262,3.905339763,3.725696318,3.917239351,3.987613553,3.909587261,3.908356751
AT1G01260,BHLH13,261050_at,4.787580119,5.29815071,4.992495714,5.32612036,5.555527783,5.440346869,5.563278679,5.071377313,5.208938244,5.356036345,5.177843009,5.51566929
AT1G01280,CYP703A2,261051_at,3.000971801,2.889129274,2.786566023,3.043839202,2.814820879,2.860420011,3.219688927,3.016632503,2.821617277,2.86535931,2.853619747,2.950419702
AT1G01290,CNX3,261044_at,7.450064596,8.302094456,7.798633929,7.962330845,8.083887906,8.168374715,8.410224241,7.51932824,8.303030114,8.224942499,8.049292501,8.250357831
AT1G01300,APF2,261055_at,8.778209439,10.11824885,8.873443707,10.60758555,8.649061784,8.257968322,9.396122974,8.721766985,9.534400249,9.900261893,8.294563069,10.2334584
AT1G01310,,261045_at,3.013697063,3.203810233,3.155512986,3.285315463,3.128854443,3.252719814,3.179821946,3.128854443,3.165610724,3.246588887,3.460463899,3.319575305
AT1G01320,,261053_at,8.072773377,6.07180538,8.553585368,5.931254695,7.686446708,7.342800229,6.148796132,8.162450333,6.216212084,6.22277376,7.553309657,5.470889137
AT1G01320,,261054_at,3.630976142,3.564466364,3.649841298,3.914709693,3.709514271,3.616979233,3.538727889,3.654076236,3.546569876,3.744777522,3.511533263,3.561083496
AT1G01340,CNGC10,261027_at,4.191864345,4.391840582,4.313439767,5.306035334,4.674250512,4.671166917,6.219494633,4.199718115,4.29857707,5.304496004,4.341774692,4.899432299
AT1G01360,PYL9,261056_at,6.504822204,6.734502166,7.052983216,6.773471351,7.063273844,6.480236851,7.581907264,6.31913791,6.615611564,6.868394004,6.841999459,6.821872713
AT1G01370,HTR12,261058_at,5.370447382,3.565390069,5.457134269,3.660062126,4.303010744,4.598522675,3.827215383,4.987380902,4.011556879,3.744032735,4.179005943,3.895053334
AT1G01380,ETC1,257490_x_at,4.014752127,4.878905073,3.84294208,9.0843796,4.049383819,4.19456756,9.33518286,3.92587519,5.277027334,9.938886931,4.007891775,6.066348998
