#age,7 (day),,,,,,,
#ecotype,Col-0,,,,,,,
#development stage,seedling,,,,,,,
,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,H_iaa1GR-IAA-1,H_iaa1GR-IAA-2,H_iaa1GR-IAA-3,H_iaa1GR-Mock-2,H_iaa1GR-Mock-1,H_iaa1GR-Mock-3
AT1G01010,NAC001,261585_at,6.100225083,6.438656191,6.190695899,6.112366158,5.646117147,6.175815691
AT1G01030,NGA3,261568_at,4.891536978,4.441407306,4.77734199,4.696845775,4.63059203,4.653520557
AT1G01040,DCL1,261584_at,6.870675897,6.454036946,6.754433508,6.560498498,6.770630533,6.947154248
AT1G01050,PPA1,261579_at,9.738625633,10.13283447,9.964982232,10.21405075,9.84775494,10.24065146
AT1G01060,LHY,261569_at,4.174910547,8.982179164,8.33515907,9.217682353,4.766444437,9.075001934
AT1G01070,,261576_at,6.910884747,7.295990597,7.122384566,7.19233576,6.748552043,7.147842324
AT1G01080,,261577_at,8.173313001,8.137152392,8.155774546,8.155774546,7.958162633,8.203670632
AT1G01090,PDH-E1 ALPHA,261583_at,11.26078879,11.47424278,11.43902033,11.5379189,11.13380367,11.44924465
AT1G01100,RPP1A,261578_at,12.57410796,12.48383813,12.22060989,12.41254258,12.52437298,12.11763262
AT1G01110,IQD18,261580_at,5.235621194,5.246544909,5.202524002,5.256778327,5.437329789,4.882926661
AT1G01120,KCS1,261570_at,10.5881164,10.01522828,11.27628112,10.16997985,10.33121414,10.44371832
AT1G01130,,261575_at,5.319430494,5.562869062,6.065663596,5.633844534,5.746498402,5.681380464
AT1G01140,CIPK9,261581_at,8.019732341,7.666703195,8.048067106,7.783886011,8.048401266,8.644686902
AT1G01150,,261571_at,2.654055143,2.783325119,2.763139229,3.06890812,2.83683024,2.895968803
AT1G01160,GIF2,261582_at,8.025933273,7.902806634,7.562994848,7.923752784,7.784754017,7.724277472
AT1G01170,,261572_at,9.401115156,9.656583998,9.342023366,9.524786215,9.445979249,9.472135274
AT1G01190,CYP78A8,261574_at,4.743528039,4.942265916,4.904199513,6.170555856,5.934085529,5.591756839
AT1G01200,RABA3,261042_at,5.383500877,5.254240756,5.164666865,5.457524313,5.494033993,5.2437629
AT1G01220,FKGP,261043_at,6.867603973,6.656932041,6.808986431,6.775154373,6.792344742,7.144561561
AT1G01225,,261025_at,6.183522873,6.137198458,6.07707749,5.53353489,5.730105206,5.567929668
