#developmental stage,seeding,,,,,,,
#organism part,whole organism,,,,,,,
#genotype,columbia,,,,,,,
#compound,brassinazole,,,,,,,
Gene ID,Gene Name,DesignElementAccession,Col_BRZ_rep3,Col_mock_rep3,Col_mock_rep1,Col_mock_rep2,Col_BRZ_rep2,Col_BRZ_rep1
AT1G01010,NAC001,261585_at,6.360928652,7.106074974,7.065898661,6.701489531,6.390285968,6.613429153
AT1G01030,NGA3,261568_at,4.293180982,4.481486843,4.399528422,4.917085033,4.403067051,4.48470305
AT1G01040,DCL1,261584_at,7.418490824,7.329793662,7.252073415,6.866044632,7.178750811,7.456707167
AT1G01050,PPA1,261579_at,10.14509548,10.05427046,9.911589053,9.73292156,9.94081324,10.28404615
AT1G01060,LHY,261569_at,9.019015326,8.791247275,9.067490523,8.676477663,9.437799943,9.251234456
AT1G01070,,261576_at,5.879329753,5.762342945,5.490441768,4.740283006,5.852950469,6.012268587
AT1G01080,,261577_at,6.781714351,6.919751183,6.636042256,5.912479519,6.888425673,6.781714351
AT1G01090,PDH-E1 ALPHA,261583_at,11.33351827,11.28655383,11.32550468,11.2996104,11.4160504,11.26748674
AT1G01100,RPP1A,261578_at,10.87796621,10.77240002,10.66697208,10.77763936,11.10473623,11.0877277
AT1G01110,IQD18,261580_at,6.014866846,5.682781192,5.952505983,6.5168735,6.140661652,6.133906788
AT1G01120,KCS1,261570_at,10.98760956,11.51939413,11.29739789,11.61826899,11.06661417,10.99511037
AT1G01130,,261575_at,5.363240965,5.543346946,5.562318044,6.764223578,5.515023837,5.568322748
AT1G01140,CIPK9,261581_at,9.611646876,9.388439731,9.138010727,9.297484679,9.289365407,9.670373623
AT1G01150,,261571_at,3.848297616,3.892992682,4.083018647,3.917229021,3.955144364,3.917229021
AT1G01160,GIF2,261582_at,8.135491126,8.346068455,8.440144246,7.961524143,8.350767824,8.401431512
AT1G01170,,261572_at,10.70615402,10.71241563,10.46102332,10.41434371,10.74998726,10.76751505
AT1G01190,CYP78A8,261574_at,5.084825277,4.736251682,4.505278631,5.038113641,5.084825277,5.051180285
AT1G01200,RABA3,261042_at,5.802498241,6.157561731,6.022485396,6.126682694,6.080031759,5.982014531
AT1G01220,FKGP,261043_at,6.743390178,6.490562977,6.446735684,5.788587334,6.711681475,6.852805521
AT1G01225,,261025_at,4.851194663,5.153816939,4.661011,4.802983165,4.869014732,4.802983165
AT1G01230,,261057_at,9.312872515,9.39967648,9.132866051,9.100309445,9.293976879,9.293976879
AT1G01240,,261026_at,8.989982374,8.825004093,8.286272827,8.90664348,8.80031712,9.053173163
AT1G01250,ERF023,261059_at,4.740069477,4.52218776,4.319314094,5.193078551,4.697669714,5.009732731
AT1G01260,BHLH13,261050_at,7.879667795,7.870114798,7.73025871,7.691154939,7.936189889,7.776382862
AT1G01280,CYP703A2,261051_at,4.023555816,4.237453421,3.997769196,4.380822917,4.084427855,4.045755676
AT1G01290,CNX3,261044_at,6.308555912,6.272443576,5.490441768,5.554997147,6.101437541,5.983963743
AT1G01300,APF2,261055_at,9.724337532,9.306273199,9.24303123,9.227606709,9.889220971,9.58804387
AT1G01310,,261045_at,4.113749384,4.266485661,4.41006504,5.106776038,4.302292753,4.1686123
AT1G01320,,261053_at,9.942935068,10.062801,10.02377521,9.842413915,10.14188545,10.21047957
AT1G01320,,261054_at,6.852805521,6.852805521,6.804331471,6.568676041,7.092718646,6.908098751
AT1G01340,CNGC10,261027_at,6.080028721,5.967359455,6.149993607,5.733354566,6.20515124,6.20515124
AT1G01360,PYL9,261056_at,8.056690349,8.249538856,8.249538856,8.099790771,8.274778212,8.01850656
AT1G01370,HTR12,261058_at,4.407571445,4.556447791,4.833242107,4.808525326,4.175237319,4.473360527
AT1G01380,ETC1,257490_x_at,4.907219736,4.907219736,4.957113308,5.170318819,4.93885625,5.063823251
AT1G01390,,261046_at,7.808076232,7.848339435,7.830425282,7.802666664,7.64627525,7.928084332
AT1G01410,APUM22,261047_at,3.826258618,3.77996517,3.952521942,3.876242105,3.876242105,3.876242105
AT1G01420,UGT72B3,261048_at,4.844065633,4.648049739,4.316685389,4.609208226,4.793472199,4.757619493
AT1G01430,TBL25,261049_at,9.9766652,9.706061754,9.744307888,9.757859181,9.827063884,9.788217195
AT1G01440,,261052_at,7.388562021,7.600298145,7.708880087,7.721670724,7.600298145,7.615331739
AT1G01450,,259435_at,4.175237319,4.280839907,4.276683351,4.485254853,4.175237319,4.170284504
AT1G01460,PIP5K10,259425_at,4.207178704,4.207178704,4.298487865,4.239747862,4.255816063,4.232833926
AT1G01470,LEA14,259426_at,10.23721546,10.86719092,10.77818192,10.81562562,10.31294708,10.33463467
AT1G01480,ACS2,259439_at,5.060066369,5.3163896,4.937401202,4.59685288,5.387404911,4.974914846
AT1G01490,,259434_at,10.65083707,10.79883283,10.7187511,10.97653512,10.70530802,10.52764399
AT1G01500,,259436_at,6.935076416,7.239826999,7.034485564,7.103166141,7.315834962,7.146410947
AT1G01510,AN,259438_at,8.989316354,8.573726558,8.378238753,8.22842885,8.671830121,8.827758955
AT1G01520,,259432_at,3.980786793,3.96610594,4.149077219,4.121580288,3.899500824,3.96610594
AT1G01530,AGL28,259427_at,3.905481969,3.935550122,3.82209643,3.949088552,3.895762192,3.935550122
AT1G01540,,259437_at,8.383598114,8.416274526,8.623594234,8.446832367,8.348433661,8.476626339
AT1G01550,BPS1,259440_at,10.94188491,10.90425117,11.11029327,11.00958981,10.96665747,11.05588781
AT1G01560,MPK11,259428_at,4.593516814,4.488902336,4.593516814,4.873763879,4.477823152,4.384488519
AT1G01570,,259433_at,4.424322473,4.449547234,4.708397737,4.5616207,4.424322473,4.424322473
AT1G01600,CYP86A4,259429_at,7.15380043,6.948123491,7.415835015,7.371205462,7.299111242,7.099647865
AT1G01610,GPAT4,259430_at,8.981195958,9.041457395,8.958400316,9.052363575,9.076735019,8.915948314
AT1G01620,PIP1-3,259431_at,12.98759809,13.1270856,12.88039849,13.11957123,13.0680997,12.90267084
AT1G01630,,261563_at,8.221705114,8.599124463,8.672725687,8.599124463,8.435151308,8.500665031
AT1G01640,,261586_at,8.405083526,8.388576745,8.427920659,8.427731284,8.76962568,8.207569779
AT1G01650,SPPL4,257484_at,8.651511557,8.536809262,8.163765544,8.278002069,8.793788984,8.581167441
AT1G01660,,261587_at,4.160642377,4.275670353,4.285212406,4.275670353,4.420778888,4.260997557
AT1G01670,PUB56,261588_at,4.763333548,4.732730401,4.752237734,4.991228695,4.675594099,4.582334413
AT1G01700,ATROPGEF2,261590_at,3.989779902,4.101318729,4.022039995,4.185471136,3.982836395,4.022039995
AT1G01710,,261560_at,8.04634067,8.231625569,8.347929802,8.238878,8.333277733,8.29346914
AT1G01720,NAC002,261564_at,9.830598522,10.03415144,9.952985144,9.952271753,9.862672723,9.776307155
AT1G01725,,261535_at,7.744442304,7.851395693,7.554533036,7.502741204,7.826477896,7.744442304
AT1G01730,,261561_at,8.107852931,8.092578183,7.85229647,7.718832023,8.03236794,8.20783688
AT1G01740,,261591_at,4.811868411,4.922647451,4.677313653,4.796154335,4.980804555,4.81833761
AT1G01750,ADF11,261562_at,4.39764812,4.439276142,4.486441733,5.368957482,4.312499451,4.401628684
AT1G01760,,261592_at,5.213455363,5.126121581,4.991259507,4.967337365,5.051137632,5.121736041
AT1G01770,,261558_at,8.189670175,8.217127538,8.057554415,7.771643001,8.181762052,8.122919934
AT1G01780,PLIM2B,261559_at,9.43080483,9.940192368,9.881362859,9.982856228,9.401704691,9.652055278
AT1G01790,KEA1,261536_at,7.736386051,7.92833016,7.505441601,7.586748358,7.938036287,7.798802456
AT1G01800,,261537_at,9.845952952,9.550858912,9.601730857,9.350503874,9.944720572,9.982319152
AT1G01820,PEX11C,261534_at,9.371873595,9.590482957,9.343449467,9.556790282,9.690292637,9.23509286
AT1G01830,,261538_at,6.160291217,6.145612819,5.95362655,5.964760384,6.061916907,6.20779298
AT1G01840,,261539_at,4.875630792,4.774668966,4.571482275,5.488903143,4.875630792,4.875630792
AT1G01860,PFC1,261652_at,6.207681286,6.228789765,6.207681286,5.848462093,6.472298655,6.270347163
AT1G01900,SBTI1.1,261653_at,6.964013518,6.691180371,6.645920343,6.495785837,7.014162399,7.014162399
AT1G01910,,261627_at,8.537254198,8.449259658,8.315825357,8.292923469,8.472780385,8.473261379
AT1G01920,,261654_at,5.734773201,5.789610093,5.857545234,5.385335479,5.734773201,5.941658125
AT1G01930,,261625_at,6.96800021,6.98794491,7.028872972,6.71970169,7.061045469,7.072329658
AT1G01940,CYP18-1,261655_at,6.904039612,7.204798948,7.145639808,7.092447524,6.923670428,7.203871721
AT1G01950,ARK2,261656_at,6.736629481,6.651930415,6.651930415,5.562786818,7.009669647,6.806350333
AT1G01960,BIG3,261621_at,9.290231609,9.28377152,9.131337355,9.107157646,9.494350855,9.471453187
AT1G01970,,261622_at,7.448521555,7.471423231,7.552082948,7.40791607,7.359167752,7.362143702
AT1G01980,SEC1A,261623_at,4.167821905,4.199411726,4.431247626,4.922021444,4.1353291,4.117891779
AT1G01990,,261626_at,7.543751343,7.398359681,7.073266717,6.971842477,7.484875728,7.476132097
AT1G02000,GAE2,261624_at,6.267696168,6.893054811,6.646037828,6.162569709,6.662981612,6.393521465
AT1G02020,,264169_at,6.532473796,6.702716623,6.615351939,6.615925764,6.764918028,6.612874578
AT1G02050,PKSA,264175_at,5.515561229,5.847022206,5.538703786,6.563810186,5.789811537,5.86284962
AT1G02060,,264167_at,5.079569076,5.078769127,4.868503999,5.038294915,5.135568095,5.123171164
AT1G02070,,264151_at,4.755306882,4.755306882,4.755306882,4.982620969,4.755306882,5.102855629
AT1G02080,,264168_at,9.824144238,9.844153953,9.844153953,9.750304151,9.844153953,9.955627829
AT1G02090,CSN7,264150_at,6.675480787,6.904002673,6.757784922,6.682805706,7.047930156,6.946842461
AT1G02100,,264171_at,8.44787263,8.575742263,8.372020375,8.502047252,8.573258887,8.526829815
AT1G02110,,264176_at,6.124300622,6.299826227,6.144223393,5.944039497,6.293651705,6.191041741
AT1G02120,VAD1,264172_at,8.994208384,8.876773696,8.76357591,8.781692265,8.938390897,9.073450042
AT1G02130,RABD2A,264122_at,8.777381192,8.860054797,8.860054797,8.887706352,8.979273916,8.767792331
AT1G02140,MEE63,264152_at,10.22920869,10.49273432,10.52075149,10.425628,10.38688462,10.28364969
AT1G02150,,264177_at,9.538143978,9.721846587,9.404174464,9.347949873,9.219648041,9.538143978
AT1G02160,,264173_at,7.900963396,7.550455071,6.963214632,7.109873376,7.627543044,8.058795801
AT1G02170,AMC1,264178_at,8.077933694,8.087178085,8.048157573,7.733532831,8.021677816,8.158310763
AT1G02180,,264179_at,5.507730966,5.41561212,5.324368621,5.143988705,5.504679391,5.41561212
AT1G02190,,264180_at,4.533528287,4.55951324,4.517640973,4.604737758,4.439745901,4.517640973
AT1G02205,CER1,264146_at,10.25526931,10.34819609,10.24225367,10.25526931,10.50811135,10.47041944
AT1G02205,CER1,264147_at,9.168461391,9.314611432,9.194681167,9.194219332,9.449262482,9.402522741
AT1G02220,NAC003,264148_at,6.828897179,6.736977941,6.845284873,6.126620438,6.731188939,6.792475686
AT1G02250,NAC005,264149_at,3.963001135,4.1534327,4.366114286,3.871897272,3.978364506,3.995083997
AT1G02260,,264170_at,7.224976477,7.418150531,7.108063128,6.644642662,6.914264047,7.239756884
AT1G02270,,264123_at,7.459818587,7.470311768,7.031349961,6.845943866,7.470311768,7.643023206
AT1G02280,TOC33,264121_at,9.6598082,9.690434271,9.478926854,9.223662632,9.596872427,9.500383064
AT1G02300,CATHB1,259441_at,7.301387838,7.455319894,6.941907996,6.857728152,7.093472482,7.169767889
AT1G02305,CATHB2,259416_at,11.38106745,11.46697997,11.36040436,11.49365386,11.40462593,11.40475328
AT1G02310,MAN1,259442_at,4.457375898,4.356234982,4.081464892,4.426762484,4.404474233,4.486930469
AT1G02320,,259413_at,3.737094146,3.741622163,3.741622163,3.767333789,3.710664902,3.81555367
AT1G02330,,259415_at,8.086652575,7.876712705,7.461392088,7.668301761,7.788750558,7.792411311
AT1G02340,HFR1,259417_at,10.76115199,10.54376759,10.44499016,10.47248295,10.58804757,10.62510321
AT1G02360,,259443_at,8.278857057,7.942833842,7.700205485,8.210355553,8.386537323,8.530022893
AT1G02370,,259444_at,4.908456905,4.994191096,4.908456905,4.626405583,4.937619374,4.775919636
AT1G02390,GPAT2,259418_at,4.378976801,4.536966582,4.217329665,4.495551136,4.533585153,4.379308276
AT1G02400,GA2OX6,259445_at,7.550561326,8.855685091,8.652505338,8.700937171,7.634582608,7.382581356
AT1G02410,COX11,259446_at,6.999157033,6.999157033,6.708545004,6.683346202,6.761834561,6.978368732
AT1G02420,,259414_at,5.523556272,5.57859079,5.457672905,5.523556272,5.603741466,5.475951843
AT1G02450,NIMIN-1,260904_at,4.275332694,4.353084357,4.21118342,4.635272157,4.378501168,4.389669605
AT1G02460,,260903_at,5.602828449,5.588490798,5.274087126,5.912924674,5.617248613,5.5471265
AT1G02470,,260933_at,5.595252078,5.246019134,4.763387157,4.819107274,5.424962513,5.530118728
AT1G02475,,260916_at,6.787594172,6.960677211,6.878443956,6.447671501,6.996123856,6.959255052
AT1G02490,,260911_at,4.517640973,4.517640973,4.462168612,5.575981519,4.383656709,4.517640973
AT1G02500,SAM1,260913_at,11.79358419,11.74243741,11.68064876,11.65460578,11.82793683,11.79358419
AT1G02540,,260906_at,4.203674759,4.296824462,4.635804911,4.736435118,4.198931969,4.574584356
AT1G02550,,260931_at,4.946888045,4.946888045,4.886931514,5.295468709,4.931512188,4.937503455
AT1G02560,CLPP5,260912_at,9.337561484,9.181244883,8.925205598,8.937606274,9.186762959,8.9407285
AT1G02575,,260907_at,4.713740373,4.744777543,4.58197226,4.935993283,4.713740373,4.671675242
AT1G02580,MEA,260908_at,4.888681941,5.100434753,4.739883822,4.682526168,5.037927769,4.963053428
AT1G02620,,260930_at,5.268559439,5.076892018,4.911926709,4.534165882,5.194472549,5.058574568
AT1G02640,BXL2,260914_at,10.43485793,10.37819072,10.35966887,10.26325931,10.42828019,10.37819072
AT1G02660,,260915_at,8.262864798,8.425988363,8.215310393,8.425988363,8.046698012,8.185864824
