#development stage,seedling,,,,,,,
#organism part,aerial tissue,,,,,,,
#ecotype,Col-0,,,,,,,
#,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1,Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1,Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1,Sakakibara_1-1_TZ-treatment-wild_Rep1_ATH1,Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1,Sakakibara_1-3_TZ-treatment-wild_Rep3_ATH1
AT1G01010,NAC001,261585_at,4.911839538,4.613951753,4.59602127,4.819662133,5.01511584,4.708355483
AT1G01030,NGA3,261568_at,5.331371799,5.190177627,4.973643645,5.446727779,4.941114569,5.504615403
AT1G01040,DCL1,261584_at,7.693885215,8.961531312,9.024197405,7.677763311,9.036110136,7.94659571
AT1G01050,PPA1,261579_at,10.22797593,10.34761865,10.24672382,10.36253575,10.3456392,10.39714516
AT1G01060,LHY,261569_at,9.975793337,10.46615967,10.38494405,10.40596034,10.08559801,9.905776999
AT1G01070,,261576_at,7.643496747,8.50701947,8.157391069,7.59912492,8.325104886,7.523408196
AT1G01080,,261577_at,9.77611076,8.150160079,8.41218374,9.697652449,8.097708396,9.770467736
AT1G01090,PDH-E1 ALPHA,261583_at,11.7391505,11.76203348,11.31010019,11.86742061,11.64610085,11.83358743
AT1G01100,RPP1A,261578_at,12.90803562,10.84697664,10.85611733,12.84797521,10.80588789,12.90305093
AT1G01110,IQD18,261580_at,4.912155736,4.82660466,4.80892191,4.801440307,4.937728032,4.696634065
AT1G01120,KCS1,261570_at,10.58324595,10.5514863,11.05990936,10.72928008,10.46975026,10.71745716
AT1G01130,,261575_at,6.401106541,6.389185444,6.987046483,6.256913121,6.464016231,6.430095908
AT1G01140,CIPK9,261581_at,9.064165653,8.946583726,9.050311838,8.883903594,9.101905416,8.723457762
AT1G01150,,261571_at,3.524617803,3.580796782,3.355522819,3.457970975,3.43902456,3.264375169
AT1G01160,GIF2,261582_at,8.048598488,7.61736441,7.987163833,8.092227952,7.871899934,7.970688066
AT1G01170,,261572_at,10.64503568,9.653912345,9.857745655,10.58390529,9.658086687,10.65852951
AT1G01190,CYP78A8,261574_at,5.03643943,5.365923139,5.163513627,5.099555265,5.038195166,5.00140087
AT1G01200,RABA3,261042_at,5.095436454,4.914066816,4.965596348,5.270687483,4.997630758,5.210121874
AT1G01220,FKGP,261043_at,7.78905705,7.968007701,7.753194988,7.82433587,7.734477208,7.727174357
AT1G01225,,261025_at,5.937366703,6.185109403,5.828485206,6.045480075,6.158756298,5.974975293
AT1G01230,,261057_at,8.331859103,8.052595225,8.337071248,8.269592131,8.398900908,8.143866563
AT1G01240,,261026_at,6.925848725,7.102995888,7.392390328,6.84638988,7.615034234,6.91183979
AT1G01250,ERF023,261059_at,5.187532744,5.201718345,5.094049745,5.238292905,5.125911101,5.191282916
AT1G01260,BHLH13,261050_at,7.580602342,8.186274194,8.305927841,7.540743701,8.431333549,7.67272739
AT1G01280,CYP703A2,261051_at,3.681591425,3.685265895,3.65005247,3.73656889,3.649869577,3.832604366
AT1G01290,CNX3,261044_at,7.08395061,5.767275185,6.175821536,6.90856864,6.258763829,7.004845573
AT1G01300,APF2,261055_at,10.59666117,9.688548014,9.146544192,10.51443587,9.530317748,10.68142722
AT1G01310,,261045_at,3.705907864,3.833578426,3.885585303,3.891052697,3.909901563,3.829074275
AT1G01320,,261053_at,10.47949196,10.83247798,10.39929435,10.50672987,10.69232233,10.4823283
