#ecotype,columbia,,,,,,,
#development stage,seedling,,,,,,,
#age,7 (day),,,,,,,
#compound,,,none,none,indole-3-acetic acid,none,indole-3-acetic acid,indole-3-acetic acid
Gene ID,Gene Name,DesignElementAccession,GSM9571,GSM9573,GSM9574,GSM9572,GSM9575,GSM9576
AT1G01010,NAC001,261585_at,6.157601042,5.897247239,7.10655402,6.510224263,7.424476114,6.822312729
AT1G01030,NGA3,261568_at,6.125031522,6.153963704,5.504829561,6.085973396,5.939835674,5.692496071
AT1G01040,DCL1,261584_at,7.027386191,7.293963406,6.74352141,6.584497887,6.705932834,6.969001734
AT1G01050,PPA1,261579_at,10.13904688,10.36591275,10.3094986,10.47543144,10.28498622,10.16156749
AT1G01060,LHY,261569_at,6.530812709,6.021690855,6.947816564,6.97789987,6.404807699,6.330367229
AT1G01070,,261576_at,6.949876084,7.174544801,7.366975722,7.253738123,6.761225116,7.022148118
AT1G01080,,261577_at,9.509530056,9.215654493,9.258060363,9.233627082,9.317112646,9.501975707
AT1G01090,PDH-E1 ALPHA,261583_at,11.13075731,11.25696419,11.13577632,11.16533227,11.11865446,11.18063579
AT1G01100,RPP1A,261578_at,11.78495654,11.97067678,12.00318742,11.89779937,11.86413827,12.06941518
AT1G01110,IQD18,261580_at,5.94030504,5.699092207,5.447522502,5.587750296,5.517908144,5.965130646
AT1G01120,KCS1,261570_at,8.913953912,8.977142484,8.977951516,8.738065407,9.138445899,8.990154318
AT1G01130,,261575_at,4.950677674,5.12316205,4.943740375,4.843433335,4.923455534,4.852434724
AT1G01140,CIPK9,261581_at,8.423404576,8.471419371,8.061267423,8.553141032,8.283434606,7.877779705
AT1G01150,,261571_at,3.38740296,3.310692574,3.422674088,3.516975006,3.384611372,3.171738638
AT1G01160,GIF2,261582_at,8.206525294,8.02831776,7.902096077,7.809863962,8.113276326,8.204677885
AT1G01170,,261572_at,10.26375097,10.18407518,10.59803096,10.54657043,10.52336127,10.2113198
AT1G01190,CYP78A8,261574_at,6.851574037,6.536927695,6.306281056,6.629392726,6.486729164,6.481384853
AT1G01200,RABA3,261042_at,5.495858829,5.348776866,5.26099071,5.707740093,5.403345027,5.206738567
AT1G01220,FKGP,261043_at,7.352891738,7.657064438,7.228277551,7.091321951,7.332396557,7.38691366
AT1G01225,,261025_at,6.567854674,7.252597863,7.648418613,6.746114643,7.418550451,7.704076113
AT1G01230,,261057_at,9.139504861,9.430893337,9.349312875,9.35118517,9.170275781,9.469938685
AT1G01240,,261026_at,6.605786044,6.818860016,6.564244968,6.499134003,6.541242031,6.554918194
AT1G01250,ERF023,261059_at,4.669856223,4.5690613,4.479104622,4.564102023,4.7157482,4.476411323
AT1G01260,BHLH13,261050_at,6.354400666,6.595861015,6.539698916,6.473617039,6.526410789,6.621322052
AT1G01280,CYP703A2,261051_at,3.570471165,3.621553043,3.571593006,3.834477414,3.660777134,3.664331925
AT1G01290,CNX3,261044_at,7.053925054,7.068246095,6.927264112,6.870422501,6.915834631,7.063626891
AT1G01300,APF2,261055_at,9.738902044,9.777977336,9.601293787,9.958645084,9.682841682,10.07962015
AT1G01310,,261045_at,3.088807233,3.28841178,3.100932193,3.36035209,3.260197748,3.214091439
AT1G01320,,261053_at,9.546078413,9.317474179,9.215089792,9.632931007,9.380597972,9.208361233
AT1G01320,,261054_at,6.810047372,5.297110836,6.380894237,6.918111772,6.767707628,6.518173982
AT1G01340,CNGC10,261027_at,6.193218687,6.288578047,6.850077231,6.744094757,7.050755253,6.662940142
AT1G01360,PYL9,261056_at,7.727973008,7.485368782,7.288400402,7.433393911,7.496033103,7.620455896
AT1G01370,HTR12,261058_at,5.347565361,6.14586239,5.838819296,6.099322367,5.830236676,6.060451421
AT1G01380,ETC1,257490_x_at,3.467825815,3.514898116,3.693366039,3.790211784,3.568340124,3.367522728
AT1G01390,,261046_at,3.92325476,4.106162176,4.181251904,4.325114723,4.274570808,4.235992807
AT1G01410,APUM22,261047_at,3.18482322,3.22165215,3.357108419,3.442083808,3.23516696,3.226346719
AT1G01420,UGT72B3,261048_at,6.010876817,5.73403334,5.45690868,5.676626728,5.682416605,5.483317822
AT1G01430,TBL25,261049_at,9.308129065,9.102674984,8.165981382,9.132735794,8.252015859,8.311719803
AT1G01440,,261052_at,6.507063554,6.023922481,5.846391396,5.789856986,5.961800703,6.022776424
AT1G01450,,259435_at,4.46136491,4.385443057,4.677852365,4.688306876,4.341787085,4.356072529
AT1G01460,PIP5K10,259425_at,3.920856664,4.013625304,4.224569465,4.262053093,4.125873305,4.088281335
AT1G01470,LEA14,259426_at,10.31690513,9.95066798,10.64428722,10.32335029,10.74147149,10.41957729
AT1G01480,ACS2,259439_at,5.890337129,5.574948351,6.264607915,5.985937248,6.142649253,5.983657495
AT1G01490,,259434_at,9.996099672,10.2191902,10.45755615,9.995493308,9.999434143,10.0094137
AT1G01500,,259436_at,8.650667512,8.028323496,8.672992244,8.645319246,8.819623619,8.691130429
AT1G01510,AN,259438_at,8.779151152,9.359935728,8.839820432,8.760251633,8.970367333,9.18011374
AT1G01520,,259432_at,4.042547653,4.01009694,3.992676259,3.788685948,3.980935093,4.055007932
AT1G01530,AGL28,259427_at,3.847461803,3.593483895,3.879986861,3.632489208,3.772253794,3.567779244
