#ecotype,Col-0,,,,,,,
#development stage,seedling,,,,,,,
#organism part,whole organism,,,,,,,
#compound,,,salicylic acid,none,salicylic acid,salicylic acid,none,none
Gene ID,Gene Name,DesignElementAccession,GSM566478,GSM566473,GSM566476,GSM566477,GSM566474,GSM566475
AT1G01010,NAC001,261585_at,8.340061,7.107399156,8.296928308,8.293919259,6.715496461,7.113621634
AT1G01030,NGA3,261568_at,6.03550326,6.020447914,5.810222595,5.843150567,5.386038826,5.802554812
AT1G01040,DCL1,261584_at,7.517525303,7.869273711,7.859283553,7.495874614,8.346076594,7.668248212
AT1G01050,PPA1,261579_at,11.568992,11.40488112,11.35158221,11.3169697,11.03854235,11.55437063
AT1G01060,LHY,261569_at,6.440158117,6.006453473,6.854251054,6.362617724,6.142389115,6.363528875
AT1G01070,,261576_at,7.28879767,7.340692895,7.076250578,7.443283501,7.087726627,7.588379315
AT1G01080,,261577_at,9.836311747,10.4768431,9.999779856,9.95876094,10.18214063,10.78261059
AT1G01090,PDH-E1 ALPHA,261583_at,13.03576169,13.07207693,12.83115737,12.84443491,12.96120933,13.14072744
AT1G01100,RPP1A,261578_at,12.83130193,12.84957763,12.77775208,12.8253676,12.96289551,12.88462575
AT1G01110,IQD18,261580_at,5.64129886,5.977612986,5.599497178,5.757878197,5.912009477,6.037674526
AT1G01120,KCS1,261570_at,11.01389684,11.13491204,10.98158867,10.96089563,11.4226703,11.46874854
AT1G01130,,261575_at,6.832482146,6.719032208,6.544086887,6.610178777,7.742538946,6.989093615
AT1G01140,CIPK9,261581_at,10.63627176,9.879292734,10.71908485,10.52674758,9.485528009,10.06565485
AT1G01150,,261571_at,3.483218008,3.449641901,3.309065607,3.437354031,3.59335589,3.244190732
AT1G01160,GIF2,261582_at,9.852871738,9.832606689,9.759457418,9.670760027,9.43103632,9.887331268
AT1G01170,,261572_at,11.72839645,11.32380117,11.43191505,11.54882665,11.95221867,11.65483342
AT1G01190,CYP78A8,261574_at,6.422581631,5.955936044,5.775000561,5.981274619,6.230201759,5.91040122
AT1G01200,RABA3,261042_at,7.035057051,7.009210598,6.641428093,6.557707525,6.839492856,7.190750338
AT1G01220,FKGP,261043_at,8.35935367,8.385013224,8.416682401,8.262993925,8.697017753,8.428525906
AT1G01225,,261025_at,7.418665704,7.933510065,7.304646495,7.218676213,7.116756823,7.327043223
AT1G01230,,261057_at,10.51354018,10.30224173,10.30954504,10.31485615,10.32712109,10.38848107
AT1G01240,,261026_at,9.968093353,9.965853103,10.12180328,9.753786764,10.03793461,9.408871867
AT1G01250,ERF023,261059_at,6.905088699,6.124161527,6.701395803,6.700396503,6.156164693,6.255305989
AT1G01260,BHLH13,261050_at,7.828334019,7.776885312,7.918787495,7.81359181,8.132775478,8.03331003
AT1G01280,CYP703A2,261051_at,3.85521052,3.610711329,3.616841076,3.727348341,3.803282899,3.931369561
AT1G01290,CNX3,261044_at,8.67657109,8.598088342,8.548833448,8.553812739,7.958737664,8.445488558
AT1G01300,APF2,261055_at,10.84424306,10.80225316,10.51696244,10.81458953,10.96214985,10.81556972
AT1G01310,,261045_at,4.634379449,4.156363746,4.482039164,4.27636417,4.362304182,4.403704771
AT1G01320,,261053_at,10.45972897,10.60771074,10.05978084,10.11789992,11.11410989,10.10846305
AT1G01320,,261054_at,5.630604391,5.459796252,5.366016639,5.68945558,5.596644532,5.325005524
AT1G01340,CNGC10,261027_at,7.466149167,6.595494498,7.383451435,7.306713224,6.514640253,6.290874256
AT1G01360,PYL9,261056_at,8.394829135,8.862372185,8.804399761,8.712999435,8.044862822,8.655764027
AT1G01370,HTR12,261058_at,7.034920846,6.429713963,6.935155777,6.929713001,6.135256084,6.3920508
AT1G01380,ETC1,257490_x_at,5.914191983,5.558974933,5.976617928,6.050801907,6.249251506,5.911044212
AT1G01390,,261046_at,5.949791601,6.309145103,5.980704906,6.17827099,6.544975181,6.450644777
AT1G01410,APUM22,261047_at,3.780039034,3.77771102,3.626193259,3.748216127,3.844676087,3.718721234
AT1G01420,UGT72B3,261048_at,7.310913738,6.889225079,7.329350658,7.318582173,7.219479422,6.99045933
AT1G01430,TBL25,261049_at,11.11232473,11.42664359,10.8589322,10.95410779,11.02264452,11.64151688
AT1G01440,,261052_at,7.568317608,7.284148305,7.790543145,7.649007896,7.405223751,7.393540489
AT1G01450,,259435_at,4.767552388,4.774076424,4.759090006,4.674435948,4.532639558,4.825491317
AT1G01460,PIP5K10,259425_at,4.740955622,4.175404273,5.042528357,5.018942988,4.560463028,4.373108485
AT1G01470,LEA14,259426_at,10.83612749,10.70901368,11.05173369,10.96347582,10.76573571,10.94696531
AT1G01480,ACS2,259439_at,7.099475418,6.66152006,7.030346125,7.190743645,6.377133347,6.600151347
AT1G01490,,259434_at,10.94605412,10.89227699,11.00809522,10.97635077,11.32827849,11.12049595
AT1G01500,,259436_at,9.196968424,8.971639256,9.124123097,9.296940369,8.550738247,9.010725393
AT1G01510,AN,259438_at,9.845068359,9.883131347,9.884705403,9.796062812,9.879050597,10.14029194
AT1G01520,,259432_at,3.99902365,3.842402571,4.052904921,3.948632382,3.985688225,3.994756028
AT1G01530,AGL28,259427_at,4.239250948,4.098140805,4.306573428,4.49592718,4.161845934,3.995701018
AT1G01540,,259437_at,9.721584586,10.10148232,9.633157719,9.722126692,10.31337449,10.27894003
AT1G01550,BPS1,259440_at,11.46951987,11.3832808,11.52398228,11.49475829,11.26445717,11.44416141
AT1G01560,MPK11,259428_at,8.717531262,4.86856959,8.57461222,8.627482413,5.238340973,5.150805093
AT1G01570,,259433_at,6.506126889,6.439473021,6.334902887,6.362578856,6.328831913,6.488371977
AT1G01600,CYP86A4,259429_at,7.417033954,7.43225655,7.165975311,7.17963827,7.873660865,7.49854462
AT1G01610,GPAT4,259430_at,10.97410225,11.25768651,10.9917943,11.06774453,10.99803778,11.04169081
AT1G01620,PIP1-3,259431_at,12.05202582,12.39663228,11.95340247,12.16545834,12.32189025,12.85726246
AT1G01630,,261563_at,10.74197389,10.62330888,10.54924754,10.68525489,10.91953875,11.0737532
AT1G01640,,261586_at,7.886406064,8.230850786,7.712110451,8.016839992,7.91010742,8.22113327
AT1G01650,SPPL4,257484_at,9.647936972,9.411078143,9.460639064,9.439796155,9.194469175,9.289026693
AT1G01660,,261587_at,5.044768939,4.948614263,4.767961925,4.773801059,4.796656356,5.064823754
AT1G01670,PUB56,261588_at,5.83732936,6.042676764,6.13710425,5.979176192,5.921230357,6.118760521
AT1G01700,ATROPGEF2,261590_at,4.287738948,4.017063256,4.070944944,4.22646255,4.019941335,4.01063302
AT1G01710,,261560_at,8.529088676,8.959754067,8.948337762,8.854637463,8.579527574,9.006602599
AT1G01720,NAC002,261564_at,10.63854055,9.704500336,10.84349169,11.01949396,9.132718381,9.960270295
AT1G01725,,261535_at,7.915641741,7.954591709,7.937666812,8.042247744,8.277023081,8.163726798
AT1G01730,,261561_at,9.571219123,8.969299058,9.215318315,9.30480256,8.92559185,9.002029329
AT1G01740,,261591_at,6.382159222,6.864242837,6.478984675,6.25616159,6.377133347,6.618176416
AT1G01750,ADF11,261562_at,5.101231402,8.505936322,5.169309184,5.079193163,8.645560383,8.622544776
AT1G01760,,261592_at,7.131720095,7.366654032,7.132119421,6.972960065,6.924949753,7.447248142
AT1G01770,,261558_at,7.639832821,7.90661605,7.872746431,7.30839853,8.268255227,7.611869708
AT1G01780,PLIM2B,261559_at,6.728835668,8.07202769,7.298892409,6.807975147,8.212172051,8.52694684
AT1G01790,KEA1,261536_at,8.564338586,9.097334523,9.004044045,8.502129725,8.834461371,8.724361095
