#development stage,vegetative stage,,,,,,,
#age,21 (day),,,,,,,
#genotype,Col-0,,,,,,,
#organism part,whole organism,,,,,,,
#compound,,,t-zeatin,t-zeatin,none,none,t-zeatin,none
Gene ID,Gene Name,DesignElementAccession,NO.20-2,NO.19-2,NO.11,NO.10,NO.21-2,NO.12
AT1G01010,NAC001,261585_at,7.463794829,7.361686902,6.745901148,6.674742107,7.241655505,6.702025723
AT1G01030,NGA3,261568_at,5.274283647,5.520817562,5.218614495,5.26628883,5.357505473,5.186700362
AT1G01040,DCL1,261584_at,6.494040742,6.650285786,6.393831935,6.376290103,6.651118971,6.367524807
AT1G01050,PPA1,261579_at,10.82529337,10.82130784,10.94375113,10.90378355,10.77949635,10.9150305
AT1G01060,LHY,261569_at,10.05950601,10.14286207,9.881496907,9.945178792,10.13189861,9.691047332
AT1G01070,,261576_at,6.399851583,6.435091664,6.99594342,6.824608381,6.524941669,6.850599128
AT1G01080,,261577_at,9.330231393,9.356345261,9.273043106,9.310517172,9.34222417,9.270738696
AT1G01090,PDH-E1 ALPHA,261583_at,11.47925256,11.44822012,11.17690994,11.22780415,11.49434037,11.15859591
AT1G01100,RPP1A,261578_at,12.38351242,12.33742903,11.91177978,11.91785289,12.3446056,11.88647243
AT1G01110,IQD18,261580_at,6.15261272,6.099089696,5.794762626,5.831902877,6.094041235,5.778744114
AT1G01120,KCS1,261570_at,10.16587772,10.14067994,10.12617263,10.18687806,10.11724681,10.15012104
AT1G01130,,261575_at,5.476913128,5.37666846,5.501872864,5.56862706,5.483867351,5.831603462
AT1G01140,CIPK9,261581_at,8.569344453,8.75150291,9.817690341,9.769972095,8.593304243,9.779336066
AT1G01150,,261571_at,3.710899243,3.948154753,3.983554415,3.816141815,3.825158362,3.825828405
AT1G01160,GIF2,261582_at,9.084497087,9.242650159,8.800576299,8.858899982,9.100036406,8.92012546
AT1G01170,,261572_at,10.77276018,10.70946122,11.12553477,11.17634968,10.63187982,11.29904576
AT1G01190,CYP78A8,261574_at,6.155160412,6.387279128,6.396107089,6.36647094,6.312069516,6.267224458
