#organism part,whole organism,,,,,,,
#developmental stage,seeding,,,,,,,
#ecotype,columbia,,,,,,,
#compound,,,none,1 micromolar brassinolide,1 micromolar brassinolide,1 micromolar brassinolide,none,none
Gene ID,Gene Name,DesignElementAccession,GSM520749,GSM520758,GSM520757,GSM520756,GSM520750,GSM520748
AT1G01010,NAC001,261585_at,6.759695263,6.737843167,7.195092922,6.794421108,7.310334158,7.248420185
AT1G01030,NGA3,261568_at,4.793059941,4.713020476,4.799423315,4.714264828,4.76284085,4.502590811
AT1G01040,DCL1,261584_at,6.694620834,6.331753599,6.865961971,6.611425,6.61003207,6.602717598
AT1G01050,PPA1,261579_at,10.28463387,10.24480357,10.30536145,10.15284172,9.592616847,10.10461533
AT1G01060,LHY,261569_at,5.260344644,5.005436911,5.148605697,5.225564571,5.897644306,5.330734505
AT1G01070,,261576_at,6.994699479,7.334098301,7.135786624,7.250692556,5.865560559,6.987929895
AT1G01080,,261577_at,8.236423354,8.556706007,8.382592837,8.394219644,6.971699503,8.127289122
AT1G01090,PDH-E1 ALPHA,261583_at,11.42050773,11.1189189,11.3884781,11.27140109,10.76952976,11.19292543
AT1G01100,RPP1A,261578_at,11.93061305,12.11659536,12.02889289,12.11550405,11.92079404,12.0143177
AT1G01110,IQD18,261580_at,4.503592311,4.212877788,4.399101071,4.108237438,4.379072327,4.419458049
AT1G01120,KCS1,261570_at,8.774559177,8.95894565,8.882599719,9.624443488,7.963203238,9.91564691
AT1G01130,,261575_at,4.672127843,4.712225743,4.727566288,4.518175376,4.466794161,4.269362414
AT1G01140,CIPK9,261581_at,8.834452642,8.332667484,8.992378097,8.64794408,8.157618469,8.57616982
AT1G01150,,261571_at,3.148210809,3.094494868,3.01770957,2.997250795,3.049841692,2.909741342
AT1G01160,GIF2,261582_at,8.453932431,8.532201739,8.466473568,8.236947524,8.330403861,8.252534935
AT1G01170,,261572_at,11.72388229,11.89693984,11.64443739,11.60377672,10.46143939,11.49958562
AT1G01190,CYP78A8,261574_at,5.001318314,5.00760038,4.653970367,4.888681426,4.337559129,4.524423054
AT1G01200,RABA3,261042_at,3.750197991,3.654659871,3.945305296,3.566240831,4.227317156,3.692062716
AT1G01220,FKGP,261043_at,6.457777608,6.122091658,6.701164226,6.679341758,7.39109472,6.462140109
AT1G01225,,261025_at,4.492333734,4.881719429,4.160111115,4.864744325,4.785514301,4.689519724
AT1G01230,,261057_at,9.223884247,9.325365658,9.203128943,9.336261166,9.216543631,9.345822053
AT1G01240,,261026_at,8.272521529,8.180085772,7.862776095,7.752165658,8.235884091,8.040922161
AT1G01250,ERF023,261059_at,4.512567259,4.682438378,4.658070483,4.550440913,4.601331902,4.549758064
AT1G01260,BHLH13,261050_at,7.499996145,6.966598282,6.935322708,6.9705077,7.705747876,7.40849162
AT1G01280,CYP703A2,261051_at,3.189649665,3.265294675,3.270747353,3.014500106,3.335915858,2.869597754
AT1G01290,CNX3,261044_at,7.181227698,7.436042853,7.332920849,7.650199759,7.385162265,7.391334002
AT1G01300,APF2,261055_at,9.020690624,9.075397627,9.134359411,9.630887016,6.650769974,8.995363905
AT1G01310,,261045_at,3.372501986,3.453937017,3.340866248,3.304825669,3.468274458,3.239968685
AT1G01320,,261053_at,8.046395447,7.25628501,8.131474947,7.700947422,7.238923681,7.603019291
AT1G01320,,261054_at,4.666009147,4.722369767,4.816120163,4.623868049,4.632122383,4.935812571
AT1G01340,CNGC10,261027_at,6.101096668,5.86982001,5.651730983,5.606701822,8.184182706,7.525577913
AT1G01360,PYL9,261056_at,7.619131688,7.802125502,7.608770169,7.624365549,7.319428463,7.564621172
AT1G01370,HTR12,261058_at,4.382896427,4.447864502,3.993845641,3.890297736,4.223889516,3.995114896
AT1G01380,ETC1,257490_x_at,3.602037523,3.922446069,3.592936404,3.715683878,3.437115583,3.556665268
AT1G01390,,261046_at,3.316375268,3.294912089,3.265570689,3.283802143,3.474018193,3.312479728
AT1G01410,APUM22,261047_at,3.211859178,3.29438835,2.815636043,3.018335424,3.097263338,3.066081253
AT1G01420,UGT72B3,261048_at,4.917598461,5.075731991,4.701677918,4.769415834,4.383280682,4.704386516
