#organism part,whole organim,,,,,,
#age,12 (day),,,,,,
#dose,50 micromolar,,,,,,
#compound,,mock,mock,mock,abscisic acid,abscisic acid,abscisic acid
Gene ID,Gene Name,SRR1761506,SRR1761507,SRR1761508,SRR1761509,SRR1761510,SRR1761511
AT1G01010,NAC001,32,38,62,55,31,29
AT1G01020,ARV1,63,78,157,135,93,117
AT1G01030,NGA3,10,17,48,41,17,20
AT1G01040,DCL1,164,219,433,431,348,409
AT1G01046,MIR838A,0,0,0,0,1,0
AT1G01050,PPA1,489,535,1063,1048,825,895
AT1G01060,LHY,3,4,7,11,7,6
AT1G01070,,41,38,72,110,93,70
AT1G01073,,0,0,0,0,0,0
AT1G01080,,513,681,1512,884,692,607
AT1G01090,PDH-E1 ALPHA,1450,1705,3889,3022,2139,2408
AT1G01100,RPP1A,1082,1176,2438,1795,1253,1466
AT1G01110,IQD18,31,33,70,35,23,30
AT1G01115,,0,0,0,0,0,0
AT1G01120,KCS1,219,290,848,2249,1052,984
AT1G01130,,10,19,44,28,16,27
AT1G01140,CIPK9,313,388,914,1169,1005,840
AT1G01150,,1,0,1,1,0,1
AT1G01160,GIF2,278,388,731,643,478,499
AT1G01170,,490,551,1354,1198,908,939
AT1G01180,,104,140,296,177,147,138
AT1G01183,MIR165A,0,0,0,0,0,0
AT1G01190,CYP78A8,6,6,15,16,10,6
AT1G01200,RABA3,2,3,16,5,6,9
AT1G01210,,43,42,91,65,59,49
AT1G01220,FKGP,91,98,248,212,168,159
AT1G01225,,15,21,41,42,20,22
AT1G01230,,188,216,544,478,351,362
AT1G01240,,195,214,514,964,624,677
AT1G01250,ERF023,7,11,7,34,35,31
AT1G01260,BHLH13,86,76,227,188,165,151
AT1G01270,,0,0,0,0,0,0
AT1G01280,CYP703A2,0,0,0,0,0,0
AT1G01290,CNX3,81,78,184,184,148,167
AT1G01300,APF2,571,616,1350,722,550,581
AT1G01305,,1,0,0,0,0,0
AT1G01310,,2,1,2,2,0,0
AT1G01320,,1215,1556,3441,2435,1964,2111
AT1G01340,CNGC10,48,61,93,67,34,25
AT1G01350,,134,137,282,209,190,206
AT1G01355,,1,1,2,1,1,0
AT1G01360,PYL9,71,77,131,135,109,90
AT1G01370,HTR12,26,25,43,25,17,24
AT1G01380,ETC1,6,6,17,10,10,13
AT1G01390,,13,13,33,14,11,4
AT1G01400,,0,0,0,0,0,0
AT1G01410,APUM22,0,0,0,0,0,0
AT1G01420,UGT72B3,27,31,90,52,60,48
AT1G01430,TBL25,597,633,1617,1038,914,886
AT1G01440,,107,106,274,228,191,182
AT1G01448,,79,109,197,159,123,127
AT1G01450,,4,0,8,2,1,3
AT1G01453,,1,7,8,4,2,4
AT1G01460,PIP5K10,0,0,0,1,0,0
AT1G01470,LEA14,385,463,959,4479,2710,2346
AT1G01471,,0,0,0,0,0,0
AT1G01480,ACS2,1,3,11,73,41,46
AT1G01490,,884,1179,2270,2179,1765,1678
AT1G01500,,59,105,213,201,138,135
AT1G01510,AN,202,281,551,450,329,337
AT1G01520,,1,0,1,10,5,3
AT1G01530,AGL28,0,0,0,0,0,0
AT1G01540,,588,765,1720,1381,1042,1145
AT1G01550,BPS1,795,995,2053,2282,1599,1474
AT1G01560,MPK11,3,0,4,27,21,18
AT1G01570,,15,16,40,59,33,29
AT1G01580,FRO2,8,4,14,12,15,22
AT1G01590,FRO1,0,0,0,0,0,0
AT1G01600,CYP86A4,47,43,74,212,109,97
AT1G01610,GPAT4,431,485,1137,1570,816,846
AT1G01620,PIP1-3,4619,5666,13523,14340,9562,9154
AT1G01630,,289,351,752,858,633,536
AT1G01640,,72,90,122,106,73,75
AT1G01650,SPPL4,189,224,508,596,445,514
AT1G01660,,8,8,17,13,5,13
AT1G01670,PUB56,3,11,13,11,13,16
AT1G01680,PUB54,3,8,6,6,4,5
AT1G01690,ATPRD3,31,32,51,48,43,42
AT1G01695,,2,3,2,2,4,3
AT1G01700,ATROPGEF2,12,21,39,29,19,32
AT1G01710,,256,329,650,872,624,676
AT1G01720,NAC002,91,148,314,1116,855,783
AT1G01725,,79,106,216,217,206,177
AT1G01730,,171,215,506,454,293,332
AT1G01740,,20,46,64,43,29,48
AT1G01750,ADF11,57,81,72,37,21,31
AT1G01760,,13,16,19,22,22,19
AT1G01770,,146,193,353,453,321,333
AT1G01780,PLIM2B,211,331,583,559,398,447
AT1G01790,KEA1,307,346,949,578,494,408
AT1G01800,,302,395,778,726,545,532
AT1G01810,,1,4,10,7,10,11
AT1G01820,PEX11C,553,670,1472,1233,819,862
AT1G01830,,50,68,124,284,169,161
AT1G01840,,5,14,20,26,19,13
AT1G01860,PFC1,101,137,265,189,165,132
AT1G01870,,0,0,0,0,0,0
AT1G01880,GEN1,13,9,28,16,16,13
AT1G01890,,0,0,0,0,0,0
AT1G01900,SBTI1.1,35,48,115,407,228,169
AT1G01910,,208,248,513,463,352,358
AT1G01920,,162,193,360,232,172,203
AT1G01930,,111,153,276,223,162,180
AT1G01940,CYP18-1,108,103,220,131,128,133
AT1G01950,ARK2,78,106,216,182,151,148
AT1G01960,BIG3,376,458,923,693,562,622
AT1G01970,,148,159,402,296,182,206
AT1G01980,SEC1A,0,0,1,1,0,1
AT1G01990,,174,206,441,290,206,239
AT1G02000,GAE2,81,92,211,213,149,143
AT1G02010,SEC1A,69,53,160,103,82,115
AT1G02020,,127,158,315,309,205,215
AT1G02030,ZAT1,1,2,5,6,4,5
AT1G02040,,0,0,0,0,0,0
AT1G02050,PKSA,105,132,216,132,122,151
AT1G02060,,27,38,47,37,29,27
AT1G02065,SPL8,30,19,48,41,27,38
AT1G02070,,5,8,10,13,4,5
AT1G02074,,2,3,5,3,2,6
AT1G02080,,518,589,1300,1175,927,1003
AT1G02090,CSN7,223,251,504,393,328,362
AT1G02100,,278,377,717,595,481,536
AT1G02110,,340,373,745,571,464,515
AT1G02120,VAD1,456,678,1241,889,664,737
AT1G02130,RABD2A,297,374,763,731,623,620
AT1G02136,,0,0,0,0,0,0
AT1G02140,MEE63,418,504,974,808,590,575
AT1G02145,ALG12,111,152,290,244,187,217
AT1G02150,,680,848,1740,1093,875,926
AT1G02160,,133,155,422,291,297,287
AT1G02170,AMC1,241,331,640,571,441,417
