#ecotype,Col-0,,,,,,
#age,10 (day),,,,,,
#developmental stage,seedling,,,,,,
#organism part,whole organism,,,,,,
#age,10 (day),,,,,,
#development stage,seedling,,,,,,
#compound,,none,none,treated with 5 microMolar BA for 120 minutes,treated with 5 microMolar BA for 120 minutes,treated with 5 microMolar BA for 120 minutes,none
Gene ID,Gene Name,SRR797194,SRR797230,SRR797231,SRR797240,SRR797241,SRR833246
AT1G01010,NAC001,315,861,384,558,1113,596
AT1G01020,ARV1,373,813,320,527,1113,830
AT1G01030,NGA3,305,576,305,499,925,493
AT1G01040,DCL1,1330,3658,1074,1629,3352,3294
AT1G01046,MIR838A,9,39,11,17,24,44
AT1G01050,PPA1,1436,2227,772,1185,2593,2354
AT1G01060,LHY,3530,5514,1658,2631,5587,4864
AT1G01070,,47,176,33,39,89,170
AT1G01073,,0,0,0,0,0,0
AT1G01080,,1405,2472,732,1051,2875,2619
AT1G01090,PDH-E1 ALPHA,4595,8222,2635,3964,9457,7874
AT1G01100,RPP1A,3976,7421,1949,2862,8606,6908
AT1G01110,IQD18,37,75,34,32,61,86
AT1G01115,,0,0,0,0,0,0
AT1G01120,KCS1,8417,14946,5487,5591,16012,13149
AT1G01130,,77,119,23,29,138,115
AT1G01140,CIPK9,5701,8888,2276,3700,7107,7961
AT1G01150,,2,5,0,0,2,6
AT1G01160,GIF2,484,1016,280,412,1191,956
AT1G01170,,451,744,213,282,794,665
AT1G01180,,83,185,71,42,244,156
AT1G01183,MIR165A,0,0,1,0,0,1
AT1G01190,CYP78A8,13,91,32,63,65,81
AT1G01200,RABA3,34,73,28,33,79,78
AT1G01210,,209,424,154,281,584,428
AT1G01220,FKGP,348,919,271,342,936,878
AT1G01225,,42,94,30,52,87,90
AT1G01230,,788,1528,508,566,1574,1443
AT1G01240,,107,226,66,81,269,221
AT1G01250,ERF023,16,32,8,11,23,34
AT1G01260,BHLH13,397,980,271,415,854,755
AT1G01270,,0,0,0,0,0,0
AT1G01280,CYP703A2,0,0,0,0,0,0
AT1G01290,CNX3,262,540,195,253,657,569
AT1G01300,APF2,3335,5458,1855,2666,6853,5870
AT1G01305,,0,0,0,0,1,0
AT1G01310,,9,17,1,6,10,17
AT1G01320,,6982,15323,4073,7672,16369,16011
AT1G01340,CNGC10,227,555,182,258,648,555
AT1G01350,,576,1199,413,554,1403,1134
AT1G01355,,6,6,3,0,4,4
AT1G01360,PYL9,253,576,175,228,575,575
AT1G01370,HTR12,56,108,35,59,121,112
AT1G01380,ETC1,14,22,9,28,52,45
AT1G01390,,81,115,23,40,55,72
AT1G01400,,0,0,0,0,0,0
AT1G01410,APUM22,0,0,1,0,0,0
AT1G01420,UGT72B3,632,1018,214,336,750,1135
AT1G01430,TBL25,1723,3615,1040,1265,3555,3643
AT1G01440,,261,659,198,247,741,583
AT1G01448,,102,239,90,113,301,238
AT1G01450,,2,7,3,4,13,11
AT1G01453,,1,29,6,2,61,13
AT1G01460,PIP5K10,0,3,2,0,2,1
AT1G01470,LEA14,9930,16389,4260,6266,14297,14236
AT1G01471,,0,0,0,0,0,0
AT1G01480,ACS2,28,106,36,52,100,40
AT1G01490,,2185,4015,1228,1535,3951,3929
AT1G01500,,411,953,230,331,808,657
AT1G01510,AN,713,1669,493,788,1874,1645
AT1G01520,,59,96,27,61,97,67
AT1G01530,AGL28,0,0,1,0,1,1
AT1G01540,,3219,6264,1838,2394,6957,5900
AT1G01550,BPS1,4825,9708,3557,4997,10695,9886
AT1G01560,MPK11,139,222,51,86,75,95
AT1G01570,,27,63,20,26,57,41
AT1G01580,FRO2,25,48,38,25,94,64
AT1G01590,FRO1,4,3,2,0,1,1
AT1G01600,CYP86A4,421,878,236,304,762,874
AT1G01610,GPAT4,5649,10552,3042,3397,10548,9777
AT1G01620,PIP1-3,2892,6617,2135,2477,8791,5561
AT1G01630,,1240,2560,904,1092,3189,2570
AT1G01640,,34,101,25,54,119,82
AT1G01650,SPPL4,1931,4096,922,1473,3174,3134
AT1G01660,,5,65,16,10,62,31
AT1G01670,PUB56,13,30,9,23,36,43
AT1G01680,PUB54,7,19,13,4,38,19
AT1G01690,ATPRD3,74,171,44,81,195,188
AT1G01695,,3,13,4,4,11,10
AT1G01700,ATROPGEF2,20,59,16,27,50,53
AT1G01710,,605,1166,447,620,1400,1152
AT1G01720,NAC002,2626,3701,973,1958,3307,2934
AT1G01725,,103,224,52,99,223,211
AT1G01730,,614,1147,373,498,1285,1218
AT1G01740,,177,356,136,221,417,404
AT1G01750,ADF11,38,461,92,110,457,241
AT1G01760,,46,118,48,66,129,112
AT1G01770,,219,435,178,251,618,534
AT1G01780,PLIM2B,122,306,121,156,517,355
AT1G01790,KEA1,4212,7901,2495,4187,8324,7328
AT1G01800,,928,1904,589,818,2136,1505
AT1G01810,,24,55,26,35,73,46
AT1G01820,PEX11C,940,1960,544,777,2036,1722
AT1G01830,,381,789,222,330,789,688
AT1G01840,,5,15,4,8,20,10
AT1G01860,PFC1,162,277,101,156,382,336
AT1G01870,,0,0,0,0,0,0
AT1G01880,GEN1,43,112,30,57,100,120
AT1G01890,,0,0,0,0,0,0
AT1G01900,SBTI1.1,262,545,133,253,462,401
AT1G01910,,1481,3134,916,1403,3370,2924
AT1G01920,,269,689,257,312,863,806
AT1G01930,,440,945,327,490,1142,887
AT1G01940,CYP18-1,508,856,227,402,805,805
AT1G01950,ARK2,714,1436,491,645,1497,1475
AT1G01960,BIG3,1850,5146,1571,2260,4999,5319
AT1G01970,,448,1035,327,503,1301,1015
AT1G01980,SEC1A,5,4,1,2,3,7
AT1G01990,,498,982,339,566,1213,929
AT1G02000,GAE2,484,887,221,384,796,743
AT1G02010,SEC1A,279,565,166,217,519,612
AT1G02020,,310,635,172,269,635,560
AT1G02030,ZAT1,1,17,8,10,13,15
AT1G02040,,0,3,0,0,9,2
AT1G02050,PKSA,143,250,73,113,273,245
AT1G02060,,152,331,119,204,407,334
AT1G02065,SPL8,32,85,27,22,98,118
AT1G02070,,1,6,5,1,4,16
AT1G02074,,1,0,0,0,0,2
AT1G02080,,2712,7097,2251,3712,7030,7305
AT1G02090,CSN7,1618,3172,860,1553,3111,2728
AT1G02100,,696,1462,442,589,1372,1306
AT1G02110,,471,842,227,329,927,866
AT1G02120,VAD1,1305,3259,970,1405,3355,2915
AT1G02130,RABD2A,759,1322,430,624,1498,1356
AT1G02136,,0,1,0,0,0,1
AT1G02140,MEE63,2041,3681,1133,1865,4360,3595
AT1G02145,ALG12,290,647,234,317,796,724
AT1G02150,,1967,3566,1073,1748,4289,3543
AT1G02160,,273,554,187,240,636,489
AT1G02170,AMC1,916,1619,467,579,1505,1314
AT1G02180,,51,97,18,29,93,123
AT1G02190,,16,25,3,8,10,24
AT1G02205,CER1,686,1321,434,439,1070,1842
AT1G02210,,0,0,0,0,0,0
AT1G02220,NAC003,41,106,50,90,119,69
AT1G02228,,0,0,0,0,0,0
AT1G02230,NAC004,213,399,74,265,207,279
AT1G02250,NAC005,0,1,0,2,6,1
AT1G02260,,162,367,140,172,491,342
AT1G02270,,1074,1793,564,924,1817,1599
AT1G02280,TOC33,1140,2063,706,1135,2510,2184
AT1G02290,,125,287,85,145,294,315
AT1G02300,CATHB1,98,238,46,45,195,272
AT1G02305,CATHB2,839,1925,580,770,2157,1572
AT1G02310,MAN1,48,113,49,61,166,129
AT1G02320,,0,1,0,0,1,2
AT1G02330,,688,1401,521,677,1715,1484
AT1G02335,GL22,85,392,137,214,488,325
AT1G02340,HFR1,51,169,38,37,156,177
AT1G02350,,11,27,11,17,48,35
AT1G02360,,246,901,709,457,2685,943
AT1G02370,,163,389,179,298,509,454
AT1G02380,,67,155,84,78,339,162
