#age,6 (day),,,,,,,
#development stage,seedling,,,,,,,
#ecotype,Col-0,,,,,,,
#compound,,,1 micromolar indole-3-acetic acid,1 micromolar indole-3-acetic acid,none,1 micromolar indole-3-acetic acid,none,none
Gene ID,Gene Name,DesignElementAccession,Hybridization6,Hybridization4,Hybridization2,Hybridization5,Hybridization3,Hybridization1
AT1G01010,NAC001,261585_at,7.853361416,7.87617271,7.840611765,7.925616078,7.864773037,7.431596868
AT1G01030,NGA3,261568_at,5.065572803,5.09529753,5.529048439,5.276013628,5.231736982,5.442021145
AT1G01040,DCL1,261584_at,8.157499804,7.9457755,8.232055046,7.667552661,8.24737098,7.949174194
AT1G01050,PPA1,261579_at,10.79279133,10.8574756,10.83292159,10.94215111,10.75110499,11.16151251
AT1G01060,LHY,261569_at,7.027019329,7.12234352,7.044125607,7.299200938,7.103045001,7.009151463
AT1G01070,,261576_at,8.072860018,7.798309013,5.935736277,8.103656517,6.437970739,6.683146991
AT1G01080,,261577_at,8.535569622,8.68637713,8.755755136,8.589169154,8.89531043,8.941638064
AT1G01090,PDH-E1 ALPHA,261583_at,12.81222206,12.83588882,12.92807088,12.83184527,12.86594003,12.98752702
AT1G01100,RPP1A,261578_at,12.4796451,12.42120374,12.37850952,12.33249894,12.39839465,12.17014517
AT1G01110,IQD18,261580_at,7.026407024,7.039408772,7.059858996,6.959278886,6.833187445,7.08949032
AT1G01120,KCS1,261570_at,8.662866425,8.281591324,9.422860044,8.544663955,9.055994328,8.932622409
AT1G01130,,261575_at,5.605791079,5.922201032,5.592073579,5.726135143,5.70251525,5.771150606
AT1G01140,CIPK9,261581_at,9.11682476,8.80785914,9.492216981,8.975953861,9.224281127,9.4863
AT1G01150,,261571_at,3.428592325,3.38181389,3.287909733,3.348488684,3.360455116,3.453965878
AT1G01160,GIF2,261582_at,9.60669837,9.788981486,9.58966319,9.548570822,9.54149208,9.455407451
AT1G01170,,261572_at,11.31875794,11.21553223,11.18808819,11.05072853,11.31285286,11.09518552
AT1G01190,CYP78A8,261574_at,6.147458563,5.992817546,5.837706035,6.383079847,5.662711204,6.058154844
AT1G01200,RABA3,261042_at,5.107173349,5.321515764,5.45229071,5.324241646,5.127754584,5.163428397
AT1G01220,FKGP,261043_at,8.57445191,8.331164137,8.552042621,8.326523459,8.470079055,8.601330666
AT1G01225,,261025_at,6.915861553,6.731386934,5.98380891,7.226696983,5.810385184,5.645682987
AT1G01230,,261057_at,9.877699909,10.06113352,9.716455239,10.10680219,9.888840139,9.813783429
AT1G01240,,261026_at,9.61194989,9.510195776,9.521558567,9.358019203,9.473562893,8.913689521
AT1G01250,ERF023,261059_at,5.299454145,5.187401122,5.339435018,5.075723025,5.399409601,5.503760927
AT1G01260,BHLH13,261050_at,8.684729144,8.922291945,9.032490143,8.889479129,8.972525188,8.878271654
AT1G01280,CYP703A2,261051_at,3.694442059,3.680841167,3.545311345,3.416548373,3.649356619,3.698719639
AT1G01290,CNX3,261044_at,8.057739214,8.034160244,8.013891875,7.773577265,8.12913693,7.754332323
AT1G01300,APF2,261055_at,9.294279678,9.569069696,9.663564309,9.66965648,9.665655026,9.853238205
AT1G01310,,261045_at,4.167060601,4.062929719,4.342423649,4.617635557,4.287704422,4.213850557
AT1G01320,,261053_at,10.6258068,10.82786679,10.8680964,10.75162181,10.76635587,10.89727492
AT1G01320,,261054_at,8.245767909,8.526379148,8.697612421,8.301110792,8.434386055,8.372375693
AT1G01340,CNGC10,261027_at,9.193886727,9.323729522,9.479098313,9.420972028,9.354033237,9.718272429
AT1G01360,PYL9,261056_at,8.705765109,9.119622237,8.899893575,8.778325481,8.852967958,8.608292801
AT1G01370,HTR12,261058_at,4.830445045,4.942566349,4.864954085,4.676749519,4.494914609,5.029482819
AT1G01380,ETC1,257490_x_at,4.516598096,4.718385064,4.370352062,4.436392156,4.435817408,4.525642774
AT1G01390,,261046_at,4.407000823,4.640828382,4.707487702,4.571376783,4.413852946,4.574616005
AT1G01410,APUM22,261047_at,3.666275831,3.742910446,3.531429932,3.612201097,3.728797337,3.690198573
AT1G01420,UGT72B3,261048_at,5.731057801,5.732862326,6.092363725,5.694130449,5.952078329,6.080271156
AT1G01430,TBL25,261049_at,9.857669011,9.515380456,10.18815327,9.855721519,10.12028659,10.50563017
AT1G01440,,261052_at,8.144436157,7.902365375,8.278548991,8.13000972,8.261147536,8.448613801
AT1G01450,,259435_at,4.6887212,4.541381063,4.61692994,4.790590393,4.431884401,4.715111554
AT1G01460,PIP5K10,259425_at,4.014527636,3.912484208,4.114713907,3.793601344,3.962358849,4.108663072
AT1G01470,LEA14,259426_at,10.67942522,10.7253612,10.45038105,10.71459247,10.33238837,10.11901745
AT1G01480,ACS2,259439_at,6.941491994,7.100313509,6.561519198,7.166718379,6.763380807,6.440056668
AT1G01490,,259434_at,11.21534845,11.15433401,11.20013397,11.12749969,11.2948428,10.87629913
AT1G01500,,259436_at,8.593368938,8.685224039,8.646601568,8.80511947,8.53960562,8.637417336
AT1G01510,AN,259438_at,10.16238814,9.835886045,10.15356209,9.905234362,10.06188198,10.25712903
AT1G01520,,259432_at,3.92086631,4.230983917,4.032826533,3.689610089,4.27766752,3.872616609
AT1G01530,AGL28,259427_at,4.045525771,3.956078036,3.863555675,3.855115547,4.05082038,4.199303612
AT1G01540,,259437_at,9.707735369,9.64460936,9.808463475,9.505932969,9.727176081,9.676462516
AT1G01550,BPS1,259440_at,11.78483859,11.7171582,11.79760326,11.67217304,11.80899305,11.82120765
AT1G01560,MPK11,259428_at,6.857105938,6.396688441,8.626651384,7.585300988,7.83386566,7.377698194
AT1G01570,,259433_at,6.037266956,6.243025354,6.169338126,6.303835418,6.402786256,6.39748881
AT1G01600,CYP86A4,259429_at,5.846787919,5.725510938,6.084989676,5.924661171,5.575785941,5.840518076
AT1G01610,GPAT4,259430_at,9.010785617,9.211038674,9.506698117,9.304364229,9.467531551,9.543605797
AT1G01620,PIP1-3,259431_at,12.81398451,12.57873426,12.92342323,12.63666205,12.87687447,12.892561
AT1G01630,,261563_at,8.927122664,9.038363949,9.034064954,9.239395875,9.067673248,9.05040546
AT1G01640,,261586_at,9.271313874,9.814004696,9.724518738,9.493374138,9.655290162,9.718370757
AT1G01650,SPPL4,257484_at,10.30926784,10.63548282,10.34424559,10.569417,10.25460828,10.31742353
AT1G01660,,261587_at,4.722381575,4.672960889,4.308363495,4.562990516,4.483595577,4.539932653
AT1G01670,PUB56,261588_at,6.043964364,5.889148269,5.904239701,5.951432466,5.995139569,6.107280984
AT1G01700,ATROPGEF2,261590_at,3.533928579,3.662789041,3.846908528,3.752811137,3.738713987,3.862091012
AT1G01710,,261560_at,8.676710432,8.791520432,9.03497173,8.772424678,8.879131215,9.052599635
AT1G01720,NAC002,261564_at,10.49789931,10.08711015,10.25077717,10.44921552,10.25666091,10.21890531
AT1G01725,,261535_at,9.196694512,8.918910717,8.916798252,8.81320809,9.140158938,8.186824806
AT1G01730,,261561_at,9.7745878,9.529529703,9.66887761,9.550023777,9.633270444,9.793811099
AT1G01740,,261591_at,6.494892605,6.435468649,6.427339083,6.414704653,6.376459431,6.353360997
AT1G01750,ADF11,261562_at,4.868323064,4.682673488,4.809429124,4.602068494,5.012696475,4.719640765
AT1G01760,,261592_at,7.04132596,7.180217895,7.476701799,7.336792328,7.316261133,7.526432725
AT1G01770,,261558_at,9.760915301,9.758360931,9.766179802,9.407716344,9.838791044,9.684906069
AT1G01780,PLIM2B,261559_at,8.930691206,8.998257022,8.953264199,8.634006047,9.081255594,9.122782302
AT1G01790,KEA1,261536_at,8.390487086,8.602478734,8.678219557,8.637427521,8.563265732,8.811862065
AT1G01800,,261537_at,11.17485034,11.2427759,11.02475988,11.09190698,11.12158865,11.0467347
AT1G01820,PEX11C,261534_at,11.42014999,11.56011918,11.56576515,11.43720426,11.50330217,11.14826741
AT1G01830,,261538_at,6.202640831,6.433916047,6.562626575,6.268190061,6.332609692,6.442641474
AT1G01840,,261539_at,6.089410429,5.906081906,5.834751195,6.264770677,6.218806777,6.10782212
AT1G01860,PFC1,261652_at,7.62271584,7.939748074,7.725508795,7.812741693,7.904869453,7.851768296
AT1G01900,SBTI1.1,261653_at,5.711871939,5.407085806,5.158878017,5.681043614,5.433500248,5.715409774
AT1G01910,,261627_at,9.408232589,9.322256968,9.5615593,9.575270328,9.464508634,9.312736014
AT1G01920,,261654_at,7.400981759,7.482450782,7.212002494,7.328361578,7.153920876,7.316302736
