#age,3(day),,,,,,,
#ecotype,Col-0,,,,,,,
#dose,10  micromolar,,,,,,,
#compound,,,DMSO,indole-3-butyric acid,indole-3-butyric acid,DMSO,DMSO,indole-3-butyric acid
Gene ID,Gene Name,DesignElementAccession,GSM1436785,GSM1436787,GSM1436783,GSM1436781,GSM1436789,GSM1436791
AT1G01010,NAC001,261585_at,5.165556159,5.873072202,5.623841155,5.431120824,5.415080269,6.127683692
AT1G01030,NGA3,261568_at,2.793794355,2.29069717,2.518351577,2.713654297,2.424618116,2.373738907
AT1G01040,DCL1,261584_at,6.340657483,6.553232605,6.466543757,6.373993693,6.294692958,6.37846973
AT1G01050,PPA1,261579_at,9.931660148,10.01267691,9.955297287,10.10970095,10.00934048,9.925012698
AT1G01060,LHY,261569_at,4.4363136,4.704778593,4.642073175,4.674332607,4.358745908,5.245461076
AT1G01070,,261576_at,5.613675253,6.418701583,6.084388152,5.598326326,5.089927067,6.533682869
AT1G01080,,261577_at,3.636246827,3.579980829,3.574916112,3.518566159,3.550086231,3.573501745
AT1G01090,PDH-E1 ALPHA,261583_at,10.8101645,10.7564156,10.85117067,10.78364352,10.93544478,10.8614137
AT1G01100,RPP1A,261578_at,12.30972366,12.34169061,12.2908926,12.31041519,12.13613653,12.19322357
AT1G01110,IQD18,261580_at,5.808058743,5.688014176,5.685528531,5.946731388,5.924651552,5.479238604
AT1G01120,KCS1,261570_at,6.497688537,8.075766951,7.622078538,6.685938354,6.737446859,8.153664851
AT1G01130,,261575_at,4.157173174,4.02870065,3.943591308,4.101382762,4.036644593,3.960342524
AT1G01140,CIPK9,261581_at,3.930627825,3.99942068,3.978284463,4.201446134,4.083087957,4.175484343
AT1G01150,,261571_at,1.872193724,1.827236393,1.8454071,1.807351066,1.890501904,1.748977434
AT1G01160,GIF2,261582_at,7.178750556,7.121421741,7.280375655,7.419771152,7.574744688,7.141750369
AT1G01170,,261572_at,4.827435134,5.671991166,5.200232764,4.672895979,4.815501909,5.230586917
AT1G01190,CYP78A8,261574_at,3.055432285,2.392060311,2.613652957,3.070754303,2.814534396,2.949476036
AT1G01200,RABA3,261042_at,4.771926311,4.928011653,4.779554998,5.025385118,4.912485909,4.405488489
AT1G01220,FKGP,261043_at,6.890681397,6.99429936,6.961462994,6.935242209,6.911059907,6.768549404
AT1G01225,,261025_at,4.685435895,5.000568234,5.014710597,5.078063843,4.859791725,5.174985263
AT1G01230,,261057_at,8.059339686,7.945103742,7.982952342,8.179313732,8.246610051,7.859974834
AT1G01240,,261026_at,5.798430199,6.067674448,6.167646128,5.787085689,5.641494697,6.21289138
AT1G01250,ERF023,261059_at,3.432912612,3.175845156,3.408571318,3.257744362,3.237992174,3.332906331
AT1G01260,BHLH13,261050_at,6.383719432,6.222383725,6.402460336,6.385615584,6.372224624,6.028913298
AT1G01280,CYP703A2,261051_at,2.134086387,2.104590786,2.031014035,2.054190542,2.064167905,2.236454075
AT1G01290,CNX3,261044_at,6.858353285,6.711578332,6.739801624,6.956975688,6.858916518,6.613905642
AT1G01300,APF2,261055_at,8.608514365,8.693420155,8.65581335,8.622814812,8.652521942,8.513467157
AT1G01310,,261045_at,2.587159389,2.307059346,2.617201248,2.525661883,2.308049959,2.374181444
AT1G01320,,261053_at,3.699701755,3.968636113,3.912631634,3.910772478,3.829426123,3.598321381
AT1G01320,,261054_at,2.396150304,2.155726278,2.49122875,2.628927445,2.667215088,2.209405125
AT1G01340,CNGC10,261027_at,4.236694313,4.86686808,4.489919141,4.133327532,4.194233359,4.565695255
AT1G01360,PYL9,261056_at,6.237797393,6.2559077,6.63684123,6.463247472,6.331183041,6.62240647
AT1G01370,HTR12,261058_at,5.623561294,5.140606836,5.416498951,5.840635172,5.548069515,5.409245871
AT1G01380,ETC1,257490_x_at,3.734281457,3.420915867,3.357697928,3.803788973,3.696688992,3.143078066
AT1G01390,,261046_at,2.176149052,2.064054329,2.039279648,2.011303435,2.145578471,1.911498632
AT1G01410,APUM22,261047_at,1.95157519,1.836929558,1.95276262,1.955597975,2.133633137,1.954465356
AT1G01420,UGT72B3,261048_at,2.879665915,2.837298693,2.907165715,2.662580559,2.910364425,2.993234089
AT1G01430,TBL25,261049_at,7.669483929,7.112608088,7.290511331,7.645490332,7.781906596,7.159467919
AT1G01440,,261052_at,5.710813818,5.835166858,5.600068974,5.711046062,5.717989404,5.620011988
AT1G01450,,259435_at,2.50692781,2.57071461,2.320459542,2.82616177,2.558827691,2.308247187
AT1G01460,PIP5K10,259425_at,2.624322513,2.168223875,2.403814142,2.479261387,2.58407171,2.367969414
AT1G01470,LEA14,259426_at,7.472178114,9.028413317,8.907447275,7.5991536,7.462583162,8.990828883
AT1G01480,ACS2,259439_at,4.518096075,4.598977701,5.230103608,4.299610991,4.774595251,4.892302462
AT1G01490,,259434_at,8.594913591,8.742314663,8.648523897,8.723408074,8.408695089,8.580735508
AT1G01500,,259436_at,6.177625588,5.9887805,6.111554786,6.084664332,6.309871182,5.990692819
AT1G01510,AN,259438_at,7.871801892,7.710960846,7.588998262,7.906211029,7.737799253,7.681532671
AT1G01520,,259432_at,2.071103038,1.885277317,2.29707301,2.029262894,2.071103038,2.157718501
AT1G01530,AGL28,259427_at,1.917445688,1.905516014,1.988907585,1.852416702,1.809756946,1.89199595
AT1G01540,,259437_at,7.289117033,7.156713277,7.277146858,7.474159413,7.423252416,7.148668295
AT1G01550,BPS1,259440_at,8.217227787,8.438139879,8.395613275,8.321080791,8.284388096,8.642916782
AT1G01560,MPK11,259428_at,2.998337303,2.796905016,2.690120845,2.994364851,2.728983937,2.660920979
AT1G01570,,259433_at,4.23332768,4.822409935,5.210953374,4.271510806,4.432056418,5.41757067
AT1G01600,CYP86A4,259429_at,3.623049742,5.206111118,4.834409756,3.442939052,3.462195301,5.780456393
AT1G01610,GPAT4,259430_at,4.238978784,7.851589575,7.498948664,4.804580357,3.919166327,8.227352149
AT1G01620,PIP1-3,259431_at,10.54892526,9.467619837,9.552161821,10.58480824,10.48354689,9.642582263
AT1G01630,,261563_at,8.40734519,8.524346409,8.569727658,8.585093388,8.480925026,8.456991678
AT1G01640,,261586_at,4.404631987,5.439952363,5.399827847,4.874619672,4.823135939,5.777118408
AT1G01650,SPPL4,257484_at,7.648108314,8.143561216,8.486186519,7.489930021,7.544475894,8.013673871
AT1G01660,,261587_at,3.827517141,4.549313251,4.391320578,4.1289776,3.799479705,4.104969279
AT1G01670,PUB56,261588_at,4.071809345,3.379819877,3.387851324,3.672417041,3.61133538,3.53262297
AT1G01700,ATROPGEF2,261590_at,2.229286726,2.079799835,1.939208599,2.079799835,2.015510667,2.027847299
AT1G01710,,261560_at,6.180991059,6.472973787,6.363830942,6.335087485,6.070892407,6.353923658
AT1G01720,NAC002,261564_at,7.797406028,8.426681212,8.512620777,7.97418591,7.914960341,8.747811821
AT1G01725,,261535_at,3.626821423,3.815930752,3.541574828,3.722427504,3.454193004,3.88943426
AT1G01730,,261561_at,6.015467897,6.086772731,6.034022547,6.142422792,6.179045793,6.267925716
AT1G01740,,261591_at,4.811740578,4.865108387,5.12799291,4.753831051,4.904059431,4.864532248
AT1G01750,ADF11,261562_at,9.433347354,9.546907874,9.587265273,9.45543663,9.408985714,9.552341991
AT1G01760,,261592_at,4.44254435,4.225411774,4.455918585,4.453111878,4.527201578,4.17768458
AT1G01770,,261558_at,3.672787829,4.742395136,4.367615844,3.854325579,3.748913946,4.427213358
AT1G01780,PLIM2B,261559_at,7.140429734,7.247317338,7.222252999,7.325769166,7.216674038,7.49102215
AT1G01790,KEA1,261536_at,5.882934076,5.668649708,5.903995615,5.931419845,6.010860145,5.840423691
AT1G01800,,261537_at,8.725395853,8.991911943,8.997204661,8.787526783,8.634161405,9.165655741
AT1G01820,PEX11C,261534_at,6.81127737,7.049164761,7.004856887,6.94857251,7.083135383,6.917707712
AT1G01830,,261538_at,4.795829331,4.451119025,4.570965472,4.808579093,4.890927341,4.458731679
AT1G01840,,261539_at,4.256094452,4.090428731,4.18354426,4.126617653,4.31424396,3.862180239
AT1G01860,PFC1,261652_at,4.421117268,4.269765264,4.101945296,4.542648106,4.356314159,4.178545698
AT1G01900,SBTI1.1,261653_at,5.075162346,4.554098808,4.735934397,4.709345295,4.871660454,4.492638922
AT1G01910,,261627_at,8.806764718,8.554067832,8.584794289,8.765695461,8.777483884,8.568712021
AT1G01920,,261654_at,5.84395959,5.893994179,6.082083436,5.845477183,5.761035229,5.753694392
AT1G01930,,261625_at,5.999108287,6.016011731,6.038474903,6.030263244,6.096682113,6.019592579
AT1G01940,CYP18-1,261655_at,7.925550479,7.971508507,7.950315658,8.121356802,8.222592155,7.771766964
AT1G01950,ARK2,261656_at,6.159912896,6.119512879,6.145696395,6.115598175,6.128787655,6.090145387
AT1G01960,BIG3,261621_at,7.951301115,8.047446739,8.063164787,7.906799757,7.974184472,7.799017968
AT1G01970,,261622_at,5.123280991,4.869093441,5.273928391,4.869193904,5.028871987,4.853529997
AT1G01980,SEC1A,261623_at,2.196378981,2.072774824,2.10426147,2.207740874,2.161030294,2.373648765
AT1G01990,,261626_at,4.808715742,4.818543123,4.916524346,4.901198702,4.6144804,4.839250746
AT1G02000,GAE2,261624_at,5.527101481,5.535432126,5.428087061,5.52800998,5.641423807,5.455715402
AT1G02020,,264169_at,4.098593241,4.283213929,3.982645104,4.024416449,4.196575573,4.123974536
AT1G02050,PKSA,264175_at,4.030605762,4.24958417,4.386994247,4.167803055,3.86105364,4.007156685
AT1G02060,,264167_at,2.609736021,2.528773781,2.553738601,2.444177069,2.513220347,2.131307598
AT1G02070,,264151_at,2.374328646,2.146868682,2.279564507,2.090344882,2.341248093,2.209974062
AT1G02080,,264168_at,8.705345551,8.788189375,8.737424724,8.697713706,8.639989736,8.622974447
