#what,what,,,,,,,,,,,,,
#as,molm,,,,,,,,,,,,,
#abs,alliumsm,,,,,,,,,,,,,
#bs,gunggmhajianm,,,,,,,,,,,,,
#organism part,whole organism,,,,,,,,,,,,,
#compound,,,indole-3-acetic acid,indole-3-acetic acid,,,indole-3-acetic acid,indole-3-acetic acid,,,,,,
Gene ID,Gene Name,DesignElementAccession,Quint_2-71_Col-0-3h_Rep2_ATH1,Quint_2-67_Col-0-1h_Rep1_ATH1,Quint_2-62_Col-0-0h_Rep2_ATH1,Quint_2-61_Col-0-0h_Rep1_ATH1,Quint_2-66_Col-0-30min_Rep3_ATH1,Quint_2-72_Col-0-3h_Rep3_ATH1,Quint_2-70_Col-0-3h_Rep1_ATH1,Quint_2-65_Col-0-30min_Rep2_ATH1,Quint_2-69_Col-0-1h_Rep3_ATH1,Quint_2-64_Col-0-30min_Rep1_ATH1,Quint_2-63_Col-0-0h_Rep3_ATH1,Quint_2-68_Col-0-1h_Rep2_ATH1
AT1G01010,NAC001,261585_at,5.798784844,5.685828282,5.100567223,5.037494772,5.400776139,5.722535704,5.828807804,5.395959607,5.887783115,5.245991604,5.236690436,5.478352338
AT1G01030,NGA3,261568_at,3.887700139,4.282600226,4.399556507,4.500332676,4.639059783,4.011731898,4.074226328,4.583784585,4.264394915,4.604119551,4.576798776,4.46443893
AT1G01040,DCL1,261584_at,6.222813711,6.148237754,6.51864542,6.30155696,6.043047531,6.243902458,6.043739133,6.136569125,6.090906259,6.142780533,6.281611028,6.291109923
AT1G01050,PPA1,261579_at,9.766974906,9.788386976,9.882347554,9.765194897,9.780177209,9.843786302,9.73626536,9.827899951,9.624557889,9.832056132,9.810856728,9.761378726
AT1G01060,LHY,261569_at,7.716948275,8.9654081,9.488513532,9.559284892,8.999089885,7.768886664,7.825683666,9.035914288,8.923451222,9.112137523,9.395188041,8.88716325
AT1G01070,,261576_at,6.306138281,6.191990115,5.904733075,5.844008953,5.807470577,6.350120827,6.503598908,5.966192143,6.095760623,5.698976849,5.901926481,6.124633186
AT1G01080,,261577_at,7.215000687,7.098600853,7.107391135,7.183497622,7.376166494,7.129882782,6.684482655,7.096406646,7.079380718,7.256015237,7.327175479,7.309200313
AT1G01090,PDH-E1 ALPHA,261583_at,10.2549577,10.32728388,10.33589479,10.43913882,10.1781438,10.36379292,10.18148117,10.21953002,10.23203252,10.36706999,10.32023518,10.16503527
AT1G01100,RPP1A,261578_at,12.08631651,11.91938881,12.05629381,11.9854075,11.94205457,11.94285543,12.04921267,11.96502631,11.98505722,11.95654434,12.02876439,11.98458737
AT1G01110,IQD18,261580_at,4.480418327,4.695193447,4.821859561,4.737392987,4.350022208,4.388954535,4.673376186,4.594976753,4.500205465,4.826417383,4.486018227,4.540121709
AT1G01120,KCS1,261570_at,8.547653899,9.453694881,8.851861177,9.028368,9.250145103,9.089114139,8.843134061,9.108576822,9.363456212,9.039486248,8.722497614,9.174692162
AT1G01130,,261575_at,4.834895876,5.441582705,4.881930813,5.323903634,5.13488632,4.86261793,4.775369232,5.295767533,5.065157018,5.281608269,4.633342205,4.748877612
AT1G01140,CIPK9,261581_at,7.786515906,7.359534483,7.8829586,8.27072161,7.936569486,8.355990358,7.977113172,7.777991504,7.312645636,7.682517946,7.906151907,7.341956744
AT1G01150,,261571_at,2.656931037,2.536654048,2.591438747,2.50755849,2.532976615,2.591438747,2.617130491,2.517707404,2.492828147,2.459529921,2.565629946,2.567704392
AT1G01160,GIF2,261582_at,7.191542352,7.067730868,6.984332092,7.014025568,7.07198927,7.193023158,7.076597003,7.139248999,7.045219251,7.259497242,7.243624153,7.03350994
AT1G01170,,261572_at,8.56216294,8.522296068,8.742878565,8.824431812,8.873468627,8.98461328,8.405025259,8.596069653,8.416288434,8.580305997,8.687350093,8.451775957
AT1G01190,CYP78A8,261574_at,4.275399138,5.159951372,5.784313601,5.437462422,4.999735945,4.394786113,4.508117914,5.203369014,5.174602197,5.328214099,5.310817422,5.135057955
AT1G01200,RABA3,261042_at,4.138030329,4.684891946,4.434991382,4.217274376,4.459546894,4.134986445,4.544370723,4.271032407,4.821641068,4.271693137,4.64549855,4.515594962
AT1G01220,FKGP,261043_at,6.829294442,6.934160775,7.023196095,6.950476108,6.728711333,6.86934164,6.685481704,6.834256183,6.678581141,7.076043374,6.922578253,6.991505157
AT1G01225,,261025_at,5.157700021,5.044617153,4.762093263,4.901283178,4.813269076,5.261961823,5.234613881,4.842768126,5.10627753,4.821144493,4.963039455,5.14198732
