id	chr	start	end	len	strand	count
AT1G01010	1	3630	5899	2269	+	67
AT1G01020	1	5927	8737	2810	-	291
AT1G01030	1	11648	13714	2066	-	140
AT1G01040	1	23145	31227	8082	+	1385
AT1G01046	1	28499	28706	207	+	20
AT1G01050	1	31169	33153	1984	-	1766
AT1G01060	1	33378	37871	4493	-	1431
AT1G01070	1	38751	40944	2193	-	239
AT1G01073	1	44676	44787	111	+	0
AT1G01080	1	45295	47019	1724	-	2407
AT1G01090	1	47484	49286	1802	-	3762
AT1G01100	1	50074	51199	1125	-	3831
AT1G01110	1	52238	54692	2454	+	92
AT1G01115	1	56623	56740	117	+	0
AT1G01120	1	57268	59167	1899	-	1458
AT1G01130	1	61904	63811	1907	-	16
AT1G01140	1	64165	67625	3460	-	1720
AT1G01150	1	70114	72138	2024	-	4
AT1G01160	1	72338	74096	1758	+	517
AT1G01170	1	73930	74737	807	-	1001
AT1G01180	1	75582	76758	1176	+	217
AT1G01183	1	78931	79032	101	-	0
AT1G01190	1	83044	84864	1820	-	152
AT1G01200	1	86514	88213	1699	-	46
AT1G01210	1	88897	89745	848	+	131
AT1G01220	1	91375	95651	4276	+	811
AT1G01225	1	95986	97407	1421	+	81
AT1G01230	1	97455	99240	1785	+	393
AT1G01240	1	99893	101834	1941	+	693
AT1G01250	1	104490	105330	840	-	121
AT1G01260	1	108945	111609	2664	+	305
AT1G01270	1	111889	111961	72	-	0
AT1G01280	1	112262	113947	1685	+	0
AT1G01290	1	114285	116108	1823	+	336
AT1G01300	1	116942	118764	1822	+	863
AT1G01305	1	119396	119997	601	+	0
AT1G01310	1	120153	121130	977	+	1
AT1G01320	1	121066	130577	9511	-	13280
AT1G01340	1	132327	135831	3504	-	70
AT1G01350	1	136123	138162	2039	+	236
AT1G01355	1	138512	139568	1056	+	3
AT1G01360	1	141970	143183	1213	+	296
AT1G01370	1	143563	145684	2121	+	122
AT1G01380	1	147152	147942	790	+	20
AT1G01390	1	148119	149806	1687	-	400
AT1G01400	1	150688	152210	1522	-	0
AT1G01410	1	153112	154198	1086	+	0
AT1G01420	1	154491	156011	1520	-	281
AT1G01430	1	156800	158655	1855	-	1214
AT1G01440	1	159855	162572	2717	-	410
AT1G01448	1	163418	166239	2821	+	122
AT1G01450	1	164104	165517	1413	-	0
AT1G01453	1	166588	167842	1254	-	0
AT1G01460	1	168722	171165	2443	+	0
AT1G01470	1	172145	172948	803	-	1326
AT1G01471	1	173250	173466	216	+	0
AT1G01480	1	175781	178400	2619	+	1
AT1G01490	1	180058	182358	2300	-	1286
AT1G01500	1	185132	186923	1791	+	414
AT1G01510	1	187210	190056	2846	+	754
AT1G01520	1	190595	192139	1544	+	207
AT1G01530	1	192639	193670	1031	-	1
AT1G01540	1	195779	198684	2905	+	1907
AT1G01550	1	199638	201775	2137	+	2724
AT1G01560	1	202135	204335	2200	+	24
AT1G01570	1	205175	207435	2260	+	36
AT1G01580	1	209394	213041	3647	+	70
AT1G01590	1	214228	217304	3076	+	13
AT1G01600	1	218993	221286	2293	+	129
AT1G01610	1	221690	224340	2650	-	964
AT1G01620	1	225664	227302	1638	-	6810
AT1G01630	1	229012	230917	1905	+	1264
AT1G01640	1	230993	232508	1515	-	12
AT1G01650	1	232840	237817	4977	-	436
AT1G01660	1	240056	242608	2552	-	24
AT1G01670	1	242842	245988	3146	-	34
AT1G01680	1	246410	248367	1957	-	32
AT1G01690	1	249140	252462	3322	+	136
AT1G01695	1	252946	254495	1549	+	14
AT1G01700	1	259494	261474	1980	-	59
AT1G01710	1	262827	267771	4944	+	881
AT1G01720	1	268329	269819	1490	+	228
AT1G01725	1	269791	270775	984	-	120
AT1G01730	1	270955	272061	1106	+	245
AT1G01740	1	272110	274569	2459	-	204
AT1G01750	1	275365	276310	945	+	31
AT1G01760	1	276265	278448	2183	-	100
AT1G01770	1	278614	282891	4277	+	466
AT1G01780	1	282760	284245	1485	+	199
AT1G01790	1	284609	291094	6485	+	9132
AT1G01800	1	293341	295040	1699	+	1357
AT1G01810	1	295220	295859	639	+	7
AT1G01820	1	296000	298120	2120	-	650
AT1G01830	1	298534	302315	3781	-	529
AT1G01840	1	303536	304358	822	+	31
AT1G01860	1	304132	306287	2155	-	316
AT1G01870	1	306383	306456	73	+	0
AT1G01880	1	306479	309109	2630	-	37
AT1G01890	1	309274	309347	73	-	0
AT1G01900	1	310315	313130	2815	+	280
AT1G01910	1	313100	315902	2802	-	815
AT1G01920	1	316127	319650	3523	+	268
AT1G01930	1	319835	322860	3025	-	317
AT1G01940	1	323026	324917	1891	+	170
AT1G01950	1	325378	330619	5241	+	559
AT1G01960	1	330587	337582	6995	-	2171
AT1G01970	1	338290	340077	1787	+	996
AT1G01980	1	340171	341999	1828	-	0
AT1G01990	1	343165	344341	1176	-	358
AT1G02000	1	345811	347592	1781	+	235
AT1G02010	1	347890	352480	4590	+	407
AT1G02020	1	352636	354969	2333	-	420
AT1G02030	1	355320	357258	1938	-	2
AT1G02040	1	358103	359078	975	-	0
AT1G02050	1	359116	360518	1402	-	90
AT1G02060	1	360917	363094	2177	-	102
AT1G02065	1	365208	367340	2132	+	22
AT1G02070	1	370256	370967	711	-	3
AT1G02074	1	372063	372210	147	+	0
AT1G02080	1	373334	386847	13513	+	3251
AT1G02090	1	387276	389647	2371	-	594
AT1G02100	1	389811	392816	3005	+	598
AT1G02110	1	392830	395528	2698	+	549
AT1G02120	1	395760	399897	4137	+	1580
AT1G02130	1	400034	401882	1848	-	946
AT1G02136	1	402692	402961	269	-	0
AT1G02140	1	403189	404456	1267	-	1786
AT1G02145	1	404599	408619	4020	+	560
AT1G02150	1	408621	410611	1990	+	2831
AT1G02160	1	410747	411597	850	+	334
AT1G02170	1	411778	413554	1776	+	536
AT1G02180	1	413521	414645	1124	-	150
AT1G02190	1	415078	418010	2932	+	5
AT1G02205	1	418747	422438	3691	+	2870
AT1G02210	1	427547	427811	264	-	0
AT1G02220	1	428813	430647	1834	-	104
AT1G02228	1	433030	433819	789	-	0
AT1G02230	1	435173	436776	1603	-	9
AT1G02250	1	437950	439559	1609	-	0
AT1G02260	1	440440	442877	2437	-	289
AT1G02270	1	443148	446235	3087	-	673
AT1G02280	1	448462	450426	1964	-	1537
AT1G02290	1	450526	452737	2211	-	233
AT1G02300	1	453287	455463	2176	+	507
AT1G02305	1	455687	458164	2477	+	1529
AT1G02310	1	458132	460696	2564	-	1
AT1G02320	1	461827	461974	147	+	0
AT1G02330	1	462074	463612	1538	-	389
AT1G02335	1	463854	464924	1070	-	409
AT1G02340	1	465717	467844	2127	-	49
AT1G02350	1	469817	470693	876	+	46
AT1G02360	1	471989	473160	1171	-	21
AT1G02370	1	474499	476511	2012	+	96
AT1G02380	1	476999	478971	1972	+	77
AT1G02390	1	480851	483292	2441	+	91
AT1G02391	1	483763	483919	156	-	0
AT1G02400	1	486800	489577	2777	+	14
AT1G02405	1	489978	490505	527	-	2
